ticker,macro_sector_code,macro_sector,sector_code,sector,industry_code,industry,basic_industry_code,basic_industry,synced_at
506373.BO,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
506854.BO,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
514440.BO,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
530477.BO,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
533315.BO,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
AMNPLST.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
ANDHRSUGAR.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
CHEMFAB.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
DEEPAKFERT.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
GHCL.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
GNFC.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
GRAUWEIL.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
GUJALKALI.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
IGPL.NS,IN01,Commodities,IN0101,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,2026-08-30T11:58:21.064178+00:00
