Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
OMAXAUTO,99,482,93.4,109.3,5.1
WHEELS,98,3978,55.1,82.9,6.3
SANSERA,97,18112,11.6,23.4,1.5
SETCO,97,360,6.1,72.2,7.2
BELRISE,94,18749,-2.8,13.9,7.9
SEDEMAC,94,9117,9.1,42.3,5.1
DYNAMATECH,92,7688,-8.9,13.5,12.2
JAYBARMARU,91,1305,30.2,15.4,2.6
LUMAXTECH,91,10835,-9,-7.4,16.2
SJS,91,6431,23.2,9.2,0.9
LUMAXIND,89,5411,14.6,-6.9,16.6
MENONBE,89,841,24.4,29.6,6.4
TALBROAUTO,89,2178,20,33.2,4.9
RACLGEAR,87,1682,10.4,-0.4,15.9
BHARATSE,87,1184,6.5,-3.6,21.2
MMFL,86,2235,-7.3,-1.4,12.1
CARRARO,86,3445,8.1,17.1,9.1
GABRIEL,85,16193,11.2,11.4,18.8
MOTHERSON,85,143477,6.2,2,2.2
RICOAUTO,84,1619,2.9,-6.4,15.9
SHRIPISTON,82,14258,-9.3,2.3,14
DIVGIITTS,81,2250,-0.1,3.5,8
SONACOMS,81,36985,1,9.7,3.2
TENNIND,80,24938,9.3,4.8,6
RML,79,2554,19.8,14.4,11.6
AUTOIND,77,381,26.3,8.5,12.7
BHARATGEAR,77,172,3.2,4.6,26.5
FIEMIND,77,5992,2.8,0.5,11
MUNJALAU,76,932,14.9,12.9,18.6
FMGOETZE,73,2581,5.8,12.6,25.6
TIINDIA,72,58881,1.8,16.4,10.9
GNA,71,1626,-14.1,-10.3,19.5
IMPAL,71,1400,11.4,6.8,5.5
ASAL,70,813,-3.5,12.1,21.5
ENDURANCE,70,39425,18.3,4.7,9
MINDACORP,69,14028,11.1,1.1,5.6
ZFCVINDIA,69,28416,0.7,-3.4,10
MUNJALSHOW,68,554,7.6,8.3,11.3
PRICOLLTD,68,6910,-5.5,-9.1,18.3
RAJRATAN,68,2154,-3.2,0.5,21.6
JBMA,67,15084,1.5,14.6,19.3
RANEHOLDIN,67,1999,24.1,16.9,22.3
VARROC,66,8903,11.6,5.6,16.2
KROSS,66,1243,2.2,-2.5,18.8
JAMNAAUTO,65,4701,-5.5,-18.2,22.9
CIEINDIA,64,17476,-4.6,-7.2,12.3
INDNIPPON,64,1840,1.2,-1.3,25.7
SUNDRMBRAK,64,293,25.1,15.1,27.8
BANCOINDIA,61,8979,0,-2.3,29
BOSCHLTD,59,107118,-2.5,-0.7,13.4
TVSHLTD,59,27428,-6.3,-10.6,16.9
ASKAUTOLTD,58,8909,3.8,5.9,21.8
SUPRAJIT,57,6104,4.9,-0.9,14
NDRAUTO,55,1966,12.1,8.9,32.2
SWARAJENG,55,4535,-5.9,5.1,20.7
SSWL,54,3317,0.3,-2,24.7
AUTOAXLES,52,2680,-5.5,-13.5,16.1
PRECAM,52,1463,-3.7,11.7,41.1
PPAP,50,300,-3.2,-2.8,28.1
JMA,50,199,-4,-2.9,16.7
ASAHIINDIA,48,21774,-0.2,-8.4,20.6
ARE&M,47,16166,0.6,4.2,19.3
EXIDEIND,47,29418,-1.7,2.6,19.7
GREAVESCOT,46,3999,4.6,12.5,29.7
IGARASHI,43,1223,-1,9.2,41.5
UNOMINDA,43,64624,-1.1,-8.2,19.1
HITECHGEAR,39,1136,-4.9,-7,34.7
JTEKTINDIA,36,3524,-1.8,-9.4,32.4
SUBROS,35,4800,-5.4,-7.8,39.3
SUNDRMFAST,34,18054,4.8,-5.8,20.6
MAHSCOOTER,32,14244,0.2,-6.1,32.8
HINDCOMPOS,31,578,-16.3,-7.1,28.7
SHARDAMOTR,28,4840,-3.2,-11.8,32.3
STUDDS,20,1780,-8.1,-13.3,24.8
ALICON,11,1083,-5.4,-16,35.3
SINTERCOM,10,217,5.7,-1.2,48.5
REMSONSIND,9,326,-15.7,-17,40.5
SHIVAMAUTO,7,241,-4.2,-8.3,48.8
UCAL,6,204,-8.8,-15.3,46
PAVNAIND,1,260,-9.3,-18.3,60
URAVIDEF,0,133,-18.8,-19.4,79.8
