Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
ATHERENERG,98,35252,-2.1,30.5,6.9
SMLMAH,84,5600,-1.2,-21.4,27.8
FORCEMOT,80,26636,0.8,-20,23.6
BAJAJ-AUTO,78,293296,8.6,3.9,2.7
EICHERMOT,74,203312,3.3,-7.4,9.9
OLAELEC,72,16707,2.6,48.2,46.8
ASHOKLEY,70,96384,-3.1,-22.5,23.8
ATULAUTO,68,1360,-0.3,2.6,11.5
TMCV,63,145255,-6,-17.5,22.3
TVSMOTOR,60,164826,-2.3,-11.8,12.6
OLECTRA,59,10003,-1.5,20.5,28.9
TMPV,47,137428,5.3,-2.3,16.9
HEROMOTOCO,43,99639,-1.3,-13.2,22.1
M&M,39,390236,1.2,-10.1,18.3
MARUTI,37,414053,-0.4,-12.6,24.2
HYUNDAI,24,152814,2.4,-14.8,34.9
INDOFARM,12,631,-10.6,-5,51.6
