Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SANDHAR,94,4249,39.9,41.5,3.9
MODIRUBBER,77,333,3.6,11.5,20.5
RUBFILA,76,429,5.6,21.7,14.3
ELGIRUBCO,68,251,-1.1,27,44.4
TVSSRICHAK,55,2755,-7,-10.6,24.8
TINNARUBR,54,1410,9.8,10.1,26.4
PTL,48,504,-3.5,-2,19.8
BALKRISIND,38,42874,-0.2,-11.8,20.8
CEATLTD,38,13473,-5.8,-11.2,24.9
JKTYRE,36,11118,-4.5,-27.9,36.8
MRF,26,54580,-2.7,-12.8,21.4
GRPLTD,23,909,-11.9,1.8,44.2
TOLINS,16,420,-3.8,-6.6,47.5
SOMICONVEY,15,125,-7.2,-2,46.8
APOLLOTYRE,14,24660,-9.4,-16.2,28.1
