Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
MTARTECH,99,24434,49.9,116,5.9
APOLLO,98,14582,35.5,70.7,2.8
IDEAFORGE,98,3538,48.2,98.8,8.3
ROSSTECH,97,3839,2.7,52.5,5.7
AXISCADES,96,8699,7.6,36.7,7.5
DATAPATTNS,94,22923,3.4,33.4,4.8
KRISHNADEF,90,1688,4.6,11.7,13.9
ASTRAMICRO,87,11728,8.5,29.3,1.5
PARAS,87,6895,5.9,35.6,9.2
NIBE,85,2103,26.6,35.6,29.5
AVANTEL,84,4562,9.6,19.3,20.1
MIDHANI,81,7807,9,20.1,11.2
ZENTEC,74,14515,-6.5,20,29.1
DCMSIL,72,526,-3.9,4,42.9
BEL,65,308363,-3.2,-4,10.9
HAL,61,295898,2.7,11.1,14
DCXINDIA,56,2346,3.8,20.4,37.8
UNIMECH,55,4836,-7,7.6,31.9
BDL,40,48613,-4.7,6.9,36.7
