Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
BHAGYANGR,99,887,11.6,82.9,21
GVPIL,99,5168,37.8,64.4,0
PRECWIRE,98,8070,9.1,46.4,5.3
TDPOWERSYS,98,20340,19.5,48.1,4.3
ATLANTAELE,98,13113,-6.2,92.7,10.4
GVT&D,97,122213,4.8,25.1,3.8
POWERINDIA,97,158802,11.1,42.6,3
SCHNEIDER,97,32618,15.5,56.7,0.6
DIACABS,95,10359,18.7,43.9,4
SBCL,95,4017,9.1,51.8,3.3
QPOWER,95,8380,-22.9,20,25.1
INA,95,3244,-0.5,51.7,9.3
MODISONLTD,94,681,37.5,49.2,0
RAMRAT,94,4385,10.3,47.8,1
POWERICA,94,7012,19.6,42.4,4.6
RISHABH,93,2118,11.9,30.5,2.4
UTLSOLAR,93,8716,-6.3,46,9.3
APARINDS,92,50170,2.8,18,5.1
EMMVEE,92,20114,10.1,39.5,3.1
WEBELSOLAR,91,4816,-4.5,95.2,29.4
EXICOM,90,2115,28.3,59.8,30
CGPOWER,87,136619,5.8,21.7,2.1
GRAPHITE,87,14611,1.7,4.1,6.7
SOLEX,87,1508,8.9,58.1,29.6
WAAREEINDO,86,1657,-14.1,9.9,45.1
KECL,84,833,-1.9,40.9,17.3
ABB,83,143158,-9.1,9.5,13.6
ENRIN,82,126771,11.5,18.7,3.4
S&SPOWER,81,448,-13.1,17.7,21.4
PREMIERENE,79,45076,-3.7,35,13.3
MCL,78,164,2.7,-0.8,35
HEG,75,11273,-12,1,15.3
SKIPPER,75,5424,0.5,31.2,18.3
SAATVIKGL,75,5664,-8.6,16.7,21.6
MARSONS,74,2588,-6.9,9.4,13.6
UEL,73,1892,-13.9,-26.4,35.6
HBLENGINE,71,21040,-6.3,7.1,32.4
GENUSPOWER,69,9877,7.3,23.9,24.5
RMC,69,412,-21.1,5.6,26.1
VETO,67,214,5.9,7.6,19.8
SHILCTECH,64,4665,-23.1,8.4,24.4
SERVOTECH,63,2152,5.4,29.5,43.4
WAAREEENER,63,85828,-11.1,10.2,22.8
MEIL,63,893,7.5,35,43.6
PITTIENG,62,3530,-5.7,5.6,11
SWELECTES,61,926,-7.1,16.7,37.4
BAJEL,58,2098,-1,12.1,31.3
INDLMETER,57,20,0,0,0
DENORA,56,381,-12.3,10.5,28.2
SURANASOL,54,133,-3.5,18.2,34.8
SPECTRUM,53,2178,20.8,-1.3,22.6
INTLCONV,43,497,2.2,-2.2,32
EVEREADY,42,2321,-2.3,-2.1,33
PROSTARM,40,841,-10.3,-6.5,43.9
MSUMI,39,26036,-4.3,-9.8,26.6
WSI,39,510,-7.2,-4.9,33.7
HONDAPOWER,37,2280,0.1,3.4,31.1
VGUARD,34,13388,-8.1,-2,25.2
AEPL,34,411,-11.3,-10.2,19.4
HPL,33,2392,-1.1,7.2,41.9
NIPPOBATRY,31,272,12.8,6.3,31.4
SALZERELEC,26,1149,1.2,-1.3,36
QUADFUTURE,25,1154,-9.1,0.5,45.6
AARTECH,24,137,-11.6,-2.1,44.2
SMLT,22,103,6.6,6.1,46.1
AURIGROW,19,45,-16.2,10.7,69
HAVELLS,16,75540,-5.5,-15.1,25.7
TARAPUR,16,42,-11.4,-14.6,44.6
GEEKAYWIRE,15,253,-13,-5.5,40.4
PIGL,9,223,-8.4,-7.4,46.2
