Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
DEEDEV,99,3809,29.7,83.8,0
OMNI,99,5320,1.6,109.5,10.4
CPPLUS,98,30123,9,62.2,1.8
BHEL,97,146037,20.3,60.1,0.4
KIRLOSENG,95,24753,1.3,20.9,4.1
AEQUS,95,14462,4.1,50.8,3.7
LOKESHMACH,94,553,-3,43.3,9.3
KIRLPNU,93,10781,14.6,43.7,1.2
JNKINDIA,93,2125,0.1,59.4,7.8
THERMAX,92,52854,6.7,39.2,9.1
CUMMINSIND,91,149189,2.8,9.4,1.6
UNIPARTS,90,2525,9.1,18.2,3.9
RPEL,90,4368,38.8,33.6,10.7
ESABINDIA,89,10758,15.1,27.2,4.5
MACPOWER,89,1184,4,19.5,5.3
SANGHVIMOV,89,3277,24.6,44.5,8.1
CRAFTSMAN,88,20736,13.9,11.5,10.7
INOXINDIA,87,13069,-4.8,25.7,10.9
UNIDT,86,468,8.8,35.2,10
CARBORUNIV,84,20142,11.8,26.8,9.3
KRN,84,6692,-18.9,7.7,23.4
GRINDWELL,83,21435,19.2,16.5,3.3
LAKPRE,83,6,21.3,27.2,20.9
TIMKEN,80,27238,1.8,8.7,4.1
ELGIEQUIP,77,17997,3,4.2,6.7
GALAPREC,77,1121,15.8,17.6,10.6
DIFFNKG,77,1210,4.8,23.1,22.7
ISGEC,76,7795,-3.1,17.8,17.3
INGERRAND,76,13673,2.3,9.5,5.9
ELECON,74,12283,10,29.4,23.6
ROLEXRINGS,72,3912,-3.1,2,18.4
RVTH,71,245,30,24.3,38.5
SETL,71,2733,0,11.9,5.5
ADOR,69,1879,5.9,2,14.3
HMT,68,2016,-9.8,2.6,24.9
PIXTRANS,67,2072,2.1,4.7,10.9
HARSHA,66,3661,2.5,7.6,14.2
BAJAJINDEF,61,897,-10.8,12.2,51.7
WINDMACHIN,60,2528,2.4,18.7,29.6
JKIPL,59,324,-7.7,29.1,33.4
MAMATA,57,1024,2.7,-5,23.1
SEMAC,54,97,12.3,26.3,45.1
AJAXENGG,54,6569,10.2,17.1,21.3
GUJAPOLLO,53,509,-9.5,4.5,29.4
BEML,52,15190,0.1,6.1,25.2
LGBBROSLTD,48,4919,-12.6,-19.7,24.7
LMW,46,15896,2.6,-4.1,15.9
PREMIER,46,8,1.7,3.1,28.9
MANUGRAPH,43,47,16.3,7.5,38
EPACKPEB,43,1925,-5.4,5.5,44.4
VSTTILLERS,42,4105,-8.9,-18.8,25.6
SHANTIGEAR,40,3387,-7.7,-2,28.8
TEGA,39,12094,-5.3,-11.7,24.2
NITIRAJ,38,195,-6.6,-10.1,25.6
PRITIKAUTO,36,232,5,3.1,33.5
SUNCLAY,36,3026,-4.1,1.4,45.9
MAZDA,35,422,-2.1,5.1,37.5
KABRAEXTRU,34,807,-6.3,-10.8,30
MAHEPC,34,333,3.6,-0.4,35.6
INDIANCARD,34,133,7.4,6.9,40.8
EIMCOELECO,33,923,-2.1,0.3,47
VESUVIUS,33,9467,-11.3,-10.3,27.8
WENDT,32,1398,0.1,3.8,46.2
FABTECH,32,698,-3.1,2.8,40.2
SUPREMEENG,31,24,-3,5.4,59.8
ACE,30,10544,-3.4,1.6,36.3
JASH,30,2534,-5.3,3.6,35.6
INTERARCH,30,3040,-14.1,-3.8,34.4
MALLCOM,28,640,-5.7,-10.9,32.4
STERTOOLS,28,852,-8.5,4,40.4
VIKRAN,28,1821,-3.9,5,40.4
DELTAMAGNT,27,65,-4.3,-2.6,48.3
CONTROLPR,26,995,-6,-7.8,32.2
BEARDSELL,25,96,-7.7,-8.9,36.7
MBEL,25,1775,-6.9,2.6,42
SALASAR,23,1251,-4.1,-9.3,34.8
BALUFORGE,23,5665,-3.4,4.9,40.5
ARENTERP,21,11,-8.8,-5.1,39.2
VMSTMT,21,241,3.7,4.5,53.7
HLEGLAS,20,2297,1,4.1,50
ESCORTS,18,33300,-8.8,-17.4,28.8
CROWN,17,134,-16.7,-5.2,47.6
SKFINDUS,14,10308,-8.6,-18,24.6
TRF,12,267,-9.8,-10.2,41.8
TIL,11,1792,-3.3,-6.7,52.4
YUKEN,10,919,-6.1,-9.3,43.8
GMMPFAUDLR,6,3623,-11.9,-18.2,43.2
RAJOOENG,5,1033,-18.8,-8.6,60.3
SKFINDIA,3,8302,-3.5,-7.7,66.9
JYOTICNC,3,15253,-11.8,-20,49.6
AARON,2,263,-10.2,-21.8,51.2
