Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
ROLLT,95,51,23.4,59.7,18.6
JINDALPOLY,84,3118,2.1,10.8,31.2
ORICONENT,79,991,-1.9,-6.2,13.2
COMSYN,79,616,0,-0.7,23.3
MOLDTKPAC,78,2334,22.2,24.9,21.2
KANPRPLA,68,503,-0.1,14.1,15.8
BBTCL,67,394,-4.1,8.1,16.1
BALKRISHNA,58,58,0.1,19.1,27.7
BKMINDST,57,295,0,0,0
EPL,55,7027,-4.4,1.6,13.7
AMDIND,53,89,2.5,10.1,31.5
JAICORPLTD,53,2047,-2.1,4.5,34.5
HITECHCORP,51,287,20.1,11.9,25.3
COSMOFIRST,47,2016,8.4,9.7,41.2
ARROWGREEN,37,688,-17.5,10.2,44.2
SHREERAMA,36,604,-4.4,-18.4,37.3
WORTHPERI,34,203,-6.1,-5.9,30.6
TPLPLASTEH,30,498,-4.2,-6.3,26.4
HUHTAMAKI,27,1287,-5.5,-1.6,37.6
AGI,23,3851,5.5,7.3,40.9
EMMBI,23,164,-2.1,-8,30.4
ANTGRAPHIC,22,12,-8,-5.8,50
TOKYOPLAST,18,83,-5.1,4.8,45.4
TCPLPACK,18,2427,-1.1,-4.6,40.9
ORIENTLTD,17,59,-3.8,-1,44.4
RPPL,17,121,2.4,-5.1,44
BALAJEE,15,250,-4.2,3.3,48.3
PEARLPOLY,14,31,-9.2,-0.3,53.9
UFLEX,13,2965,3.8,-12.3,36.5
FIBERWEB,3,84,-23.5,-29.5,50.5
FLEXITUFF,0,22,3.7,-31.9,83.6
