Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SWANDEF,99,10119,3.4,7.9,22.8
KMEW,97,5004,15.8,25.3,10.5
SEAMECLTD,96,4154,4.9,21.4,4.5
GESHIP,95,23523,15.8,22.4,8.3
SHREEJISPG,93,7446,16.3,14.6,0.3
DREDGECORP,92,3002,10.7,15.2,13.8
SCI,90,14097,4.3,14.1,17.9
ADANIPORTS,87,415485,10.7,17.9,1.2
GRSE,67,30649,-6.2,10.4,24.4
JSWINFRA,62,58285,-2.4,9.4,20.4
ATL,49,677,-1.9,1.9,37.4
MAZDOCK,46,99659,-8,10.4,34.6
COCHINSHIP,43,40190,-9,2.8,39.9
GPPL,42,7523,-1.4,-12.9,22.3
ESSARSHPNG,28,491,-10.3,-8.3,45.3
TRANSWORLD,18,355,-8.3,14.6,51
