Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
MBAPL,91,4771,4.7,17.9,6.9
GSPCROP,86,2050,5.8,23.4,5.8
MANORG,84,500,26.1,38.6,10
INSECTICID,69,2172,7.3,18.6,32
DHARMAJ,68,919,5.1,12.3,30.1
ASTEC,66,1675,0.4,21.3,24.6
SHARDACROP,64,8548,-15.7,-20.3,26.9
SUMICHEM,64,23883,7.6,19.5,28
BHAGCHEM,61,3182,-9.8,20.2,25.7
IPL,60,2032,17.2,13,28.3
UPL,52,55000,2,4.2,19.7
SIKKO,51,183,-12.3,-9.1,38.5
EXCELINDUS,45,1235,4.6,0.9,31.8
NACLIND,43,3666,0.4,18.4,53.7
DHANUKA,39,5290,9.4,9.7,40.6
ACI,37,6715,-9.5,-7.7,25.1
RAMAPHO,33,431,-10.5,-4.3,43.8
BAYERCROP,31,19617,-6.6,-7.6,32.9
PARADEEP,30,13361,-5.4,10.6,45.1
SPIC,29,1462,1.2,3.5,44
ZUARI,29,929,-11.2,-1.6,43.8
RALLIS,28,4920,-3.1,-8.6,34.4
ADVANCE,26,673,-8.8,-18,31.7
PIIND,19,43212,-7.6,-7.9,34.2
UNIENTER,17,748,-0.6,1,36.2
BOHRAIND,12,38,-1.7,-6.4,51.2
MOL,11,1298,-3.6,-2.5,51.9
KHAICHEM,8,537,3.1,-2.9,59.1
IGCL,8,396,-0.5,-2.9,48.7
HERANBA,7,760,-16.9,-8.8,53
BHARATRAS,5,2374,2.7,-5.8,52.2
SHIVALIK,4,417,-1.2,-3.2,59.4
