Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
ACUTAAS,98,23958,17.2,35,3.3
BALAMINES,96,6230,47,74.3,1.8
FCL,96,4545,69.6,64,2
IOLCP,95,3637,34.4,65.8,2.1
INDOBORAX,94,1071,35.6,36.4,3.4
STALLION,94,2034,9.5,37,58.5
BODALCHEM,92,953,12.8,62.6,7.4
NAVINFLUOR,92,38174,13.2,15.8,0.2
PREMEXPLN,92,3841,30.9,39.4,0
KRISHANA,92,4037,-2.9,34.8,7.2
GUJALKALI,91,5136,-4.9,46.7,14.1
APCOTEXIND,90,2570,23.8,33.3,11.6
YASHO,90,2547,41.4,43.7,4.7
SOLARINDS,90,166342,20.4,36.5,1.7
KINGFA,89,7120,8.6,17.4,3.7
HSCL,88,29939,4,22.8,9.4
NEOGEN,88,4800,6.1,31.2,6.8
AETHER,87,14245,-6.9,10.7,15.7
PRIVISCL,85,12888,1.2,11.2,8.1
CHEMBONDCH,84,536,30.2,31,19.1
GOCLCORP,83,1719,4.2,36.6,17
ANURAS,82,15634,2.7,8,3.1
KANORICHEM,82,397,7.2,29.4,14.6
VISHNU,82,4062,2.2,18.3,4.4
ANDHRSUGAR,81,1176,-12.2,20.1,19
IVP,81,185,25.2,29.5,13.2
OCCLLTD,81,570,11.2,26.6,28.5
AARTIIND,79,17496,-1.3,5.8,7.7
GULPOLY,79,1121,0,16.3,14.9
GODAVARIB,79,1498,-10.6,5.6,17
GANESHBE,78,718,-2.7,22.3,14.9
IGPL,76,1371,2.9,20.9,14.4
ISHANCH,75,175,2.8,4.8,23.3
DMCC,74,699,-2.2,26.3,20.3
VINYLINDIA,74,487,4,26.5,24.8
TRUALT,74,4152,1.4,18.7,11.8
INDIAGLYCO,73,6768,4.3,8.9,17.2
ATUL,72,20753,5.1,7.6,9.6
FLUOROCHEM,72,42103,12.5,9.7,5.4
PLASTIBLEN,70,458,12.2,20.3,23.1
JGCHEM,70,1602,-1.3,14.7,27.1
SHREEPUSHK,69,1123,-12.1,10.9,26.8
INDOAMIN,67,950,15.3,20.5,25.4
BEPL,63,2374,-1.2,17.4,22.9
DEEPAKNTR,63,23840,3.6,10.4,18
VALIANTORG,63,805,5.4,21.5,43.4
ALKYLAMINE,62,8932,13.6,17.1,28.4
ARVEE,62,180,-1.4,6.3,43.7
CHEMCON,62,705,18.6,19,34.8
HPIL,62,153,-3.8,4.9,24.9
SRHHYPOLTD,62,914,6.3,11.4,25.1
AMNPLST,62,1014,16.6,20.6,28.9
KRONOX,62,504,6.5,22.2,34.1
ABMINTLLTD,61,43,5,9.4,41.2
SUDARSCHEM,59,8188,18,17.3,34.9
NOCIL,58,2769,-10.1,11.8,21.5
SIGIND,57,136,0,10,38
20MICRONS,56,691,10.2,12.4,30.7
VITAL,56,130,-16,8.2,23.9
FOSECOIND,55,3798,4.7,3.8,26.5
SUDARCOLOR,55,867,3.4,6.6,18.7
CHEMBOND,54,219,11.4,15.2,37.1
PIDILITIND,53,150173,5.6,-1.4,6.2
SRF,53,80421,8.1,3.7,18.5
EPIGRAL,52,5372,0.7,33.9,41.3
DCMSHRIRAM,52,16998,-8.9,2.5,27.4
FINEORG,50,13971,-6.7,-6.7,17
SEYAIND,49,41,16,16.2,36.7
PODDARMENT,49,268,-2.6,5.9,25.6
PRIMO,48,533,-7.4,10.1,30.1
TATACHEM,47,19525,6,6.5,25.4
LORDSCHLO,45,385,-7.9,16.2,43.8
NAHARPOLY,42,621,-1.6,0.8,35
DICIND,41,463,-3,-4,22.5
TIRUMALCHM,41,2543,5.9,8.1,35.8
JOCIL,37,118,3.8,0,25
BHAGERIA,35,674,-10.1,-0.4,36.8
PAUSHAKLTD,35,1121,-2.5,-3.1,28.6
ASAHISONG,34,273,-2.2,11.6,48.3
ALKALI,33,72,7.4,5.3,34.4
PUNJABCHEM,33,1267,-3.2,-6.3,38.4
GALAXYSURF,30,6529,1.5,-6.3,33.1
AARTISURF,29,334,-2.7,-2.5,34.6
PCBL,26,11581,1,-4,32.7
BASF,23,15223,-3.6,-0.3,34.9
DYNPRO,23,288,-2.8,1.2,44.2
HPAL,20,335,-5,-2.1,33.2
GHCL,17,4076,-13.6,-7.8,33.6
VINATIORGA,17,13867,3.5,-11.3,34.4
AKSHARCHEM,16,162,0.4,-6.1,39.2
CHEMFAB,14,596,4.7,6.1,51.4
CLEAN,14,7907,-8,3.5,53.4
VIKASLIFE,14,273,-7.5,-0.7,53.5
VIKASECO,11,233,-5,-9.5,52.2
ELLEN,11,3751,-6.2,13,58.4
KIRIINDUS,7,2582,-4.3,-12.6,49.1
CAMLINFINE,6,2345,-3.9,-13,63.2
GEMAROMA,6,807,-7.8,-21.6,56
SRD,3,265,-6,-17.2,53.6
DSFCL,2,227,4.7,-26.4,50.5
OMKARCHEM,1,7,-17.6,-32.3,56.9
SADHNANIQ,1,696,-0.4,9.3,89.2
