Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
GRWRHITECH,95,12982,38.4,38.8,1.9
SHAILY,91,12679,13.6,41.7,3
XPROINDIA,78,2630,8.9,28.6,16.1
PYRAMID,74,637,-3.5,14.4,9.5
GUJRAFFIA,73,23,9.6,16.7,48.4
TAINWALCHM,55,187,-4.3,3.1,27.3
POLYPLEX,52,2866,-0.3,10.8,34.7
TNPETRO,50,816,1.1,-0.3,29.8
SUPREMEIND,35,45878,-2.2,-10.8,23.8
TIMETECHNO,32,8790,-4.6,-5.8,28.5
ALLTIME,29,1547,-2.2,-2.7,28.8
NILKAMAL,24,1916,-3.9,-7.7,31.1
ESTER,21,929,3.5,-11.5,38.7
DDEVPLSTIK,21,2458,-4.8,-14.3,34.1
AVROIND,14,152,-11.9,-10,43.6
RMDRIP,0,811,0.3,-66.8,82.2
