Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
KSHITIJPOL,93,63,40.8,46.8,10.1
RAIN,89,6009,36.6,17.3,2.2
AERONEU,78,231,14.8,31.7,28.3
PANAMAPET,73,2031,22.6,19.3,15.6
MANALIPETC,62,1040,10.4,10.1,25.4
STYRENIX,61,3997,-2.6,18.4,35
SPLPETRO,55,12815,-11.9,5.3,30.4
GOACARBON,52,366,7.7,8.5,22.4
KOTHARIPET,46,759,-4.1,12.6,32.7
PLATIND,38,1244,-0.9,2,33.5
DIAMINESQ,27,246,-10.3,4.1,46.1
DCW,13,1413,4.6,-0.6,45.1
CHEMPLASTS,10,3853,3.1,-3.6,49
AGARIND,1,638,-4.3,-23,58.3
