Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
KESORAMIND,99,410,28.1,49.5,7.3
MANGLMCEM,69,2315,-8.2,-8.5,11.6
INDIACEM,66,12505,-7.3,-4.5,16.9
JSWCEMENT,63,18386,7.6,7.9,16.9
BVCL,61,91,-6.7,1.8,38.8
BURNPUR,57,284,0,0,0
STARCEMENT,46,8777,-7.3,0.3,29.4
ULTRACEMCO,46,345364,-2.4,-10.1,10.6
JKCEMENT,45,42323,-2.9,-3.9,28.1
KAKATCEM,44,97,-8.1,8.9,30.3
APCL,42,363,5.3,-5.1,21.4
SHREECEM,35,91513,0.9,-5.6,22
NUVOCO,34,11602,9.7,-2.5,32.1
KCP,32,2123,-7.8,1.6,28.7
HEIDELBERG,31,3680,1.3,-0.9,27.8
BIRLACORPN,30,7744,6.9,0.7,34.4
ACL,28,508,-2,-0.3,49.8
DALBHARAT,27,34160,-7.6,-11.7,27
PRSMJOHNSN,27,5917,-12.2,-6.6,33.2
SHREDIGCEM,27,1058,-3.5,-0.5,33.6
NCLIND,23,768,-1.4,-7,28.7
RAMCOCEM,23,21458,-6.2,-21.3,25.4
SAGCEM,20,2387,-1.8,-5.5,39.1
AMBUJACEM,16,109816,-4,-13.5,29.3
ACC,11,25971,-4,-14.9,31.9
DECCANCE,10,855,-7.6,-14.5,47.8
JKLAKSHMI,9,7614,-6.5,-15.9,39.8
SAURASHCEM,6,684,-1.4,-6.3,52.3
ORIENTCEM,4,2850,-6.3,-12.2,60.9
BILVYAPAR,0,14,-18.2,-31,70.7
