Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
GAYAPROJ,98,814,-3.9,38.9,14.8
NOIDATOLL,97,127,79.5,79.9,8.2
AGIIL,96,4786,6,24.6,11.9
SGMART,96,7676,10.8,39.6,4
WALCHANNAG,93,1664,11.6,45.4,11.8
BGRENERGY,91,2147,0.4,-6.5,39
CEMPRO,90,15177,32.8,49.3,10.5
CEIGALL,90,5950,1.3,18.7,11.5
GAYAHWS,88,56,2.6,6.2,49.8
SRM,83,1216,0.7,29.2,18.2
ARIS,80,1011,-0.5,12,22.3
ATLANTAA,79,348,2.4,7.3,41.6
BUILDPRO,77,2559,-6.3,2.7,15
TECHNOE,75,15976,7.2,18.4,17
NIMBSPROJ,75,425,13.4,10.1,5.3
SPMLINFRA,74,1775,-3.1,23.4,34.6
SETUINFRA,70,6,-15.4,31,50.9
KPIL,68,21737,0.9,4.9,4.7
PSPPROJECT,67,3060,4.6,2.8,25
GARUDA,65,1590,-0.5,-4.9,31.2
AKASH,64,46,-1.4,4.9,23.2
BLKASHYAP,64,1297,8.6,19.5,28.2
ARSSINFRA,63,123,0,0,10
KPEL,63,2492,1.8,28,36.9
MARKOLINES,63,368,8.4,4.3,11.7
LT,62,554851,-0.5,-6.2,9.2
BCPL,61,123,3.8,2,19.9
HECPROJECT,60,141,-3.5,13.7,29.1
IL&FSENGG,60,379,7.5,14.8,30.1
POWERMECH,60,8051,2,19.2,25.4
GMRAIRPORT,59,102295,1.2,-5.3,12.2
WELENT,59,6924,-4.3,0.8,13.7
HCC,57,5865,8.1,24,40.1
MBECL,57,1383,0,0,0
UNIVASTU,56,259,4.2,8.3,32.3
ANUP,54,3963,-10.7,24.7,33.1
IRB,53,26112,-1.1,5.2,49.4
MODIS,53,674,-10.4,6,16.9
KAUSHALYA,51,31,-1.5,3.1,52
GPTINFRA,50,1491,3.1,-4.5,20.9
LPDC,50,91,-13.3,14.5,32.6
BRNL,48,172,-2.8,4.6,23.4
TARMAT,48,127,-3.1,-3.7,29.5
DBL,47,7085,-6.8,0.7,25.5
GENCON,46,227,-3.5,-14.5,32.8
KRYSTAL,45,815,-2.2,-6.9,20.1
SIMPLEXINF,44,1881,3.1,13.9,27.8
RIIL,44,1146,-5.1,7.2,27.6
AHLUCONT,43,5402,-7.4,7.1,28.2
NBCC,41,26144,1.4,2.3,25.9
MADHUCON,39,39,5.7,12.3,43.3
JYOTISTRUC,39,1490,-3.6,3.3,42.7
THEJO,38,1760,-7.3,-6.2,34.7
ENERGYDEV,36,78,-1.4,4,43.1
SUPREMEINF,36,799,4.3,1.2,37
MANINFRA,35,4624,-1.3,8.3,39.7
BFUTILITIE,34,2080,-2.9,12,38.6
RAMKY,34,3183,-9.8,-1,34.8
OMINFRAL,29,853,-4.5,2.6,39.5
TICL,27,359,-6.8,-7.4,32.6
A2ZINFRA,25,262,-13.5,-15.6,36.4
CORALFINAC,25,131,-5.6,-1.4,36.9
INDIANHUME,25,1664,-1.1,-6.9,33.8
GRINFRA,24,9148,7.3,-4.2,34.5
PNCINFRA,24,5440,-2.4,0.2,35.8
CCCL,23,690,-13.7,-3.3,46.6
SWSOLAR,22,4599,-8.8,-2.4,43.5
JKIL,21,3841,-1.6,-6.7,33.6
NCC,20,9482,-8.2,-0.5,37.7
MOLDTECH,20,346,-7.9,-6.5,45.7
TRANSRAILL,19,6853,-14.7,-7.5,40.4
INDIQUBE,18,3550,-5.7,-5.3,31.8
AFCONS,17,11158,-4,-1.5,36.8
KNRCON,15,3755,9,-1,45.6
SEPC,15,1483,2.5,1.2,50.3
DEVX,15,348,-8.9,-9.7,39.2
CAPACITE,13,1889,-11.9,-11,39.4
COUNCODOS,13,37,-6,-5.5,45.4
PATELENG,13,2606,-6,-6.8,43.4
HGINFRA,12,3925,-1.8,6.5,47.8
MBLINFRA,12,401,1.2,-1.2,49.9
NIRAJ,11,171,-2.3,1.7,52.2
JPASSOCIAT,11,594,0,-20.9,42.8
DHRUV,10,60,-10.8,13.9,57.7
ABINFRA,10,853,-16.2,-27.1,43.4
SADBHAV,8,155,-9.7,-14.4,48.5
ASHOKA,7,3460,-9.9,-10.5,46.6
VASCONEQ,7,789,-11.4,-14.2,54.4
KEC,6,13509,-11.9,-14.2,46.4
RPPINFRA,5,357,-11.4,-6,57.3
USK,5,121,-9,-26.6,50.7
DBEIL,5,357,-9.4,-4,58.7
SKIL,4,21,8.7,-9.9,67.8
SUPREME,3,189,-5.6,-12.3,57.1
GLOBECIVIL,3,256,-8.3,-11.7,53.9
HILINFRA,3,343,-5.6,-12.5,63
RKEC,1,87,-7.2,-22.3,62.4
GENSOL,1,72,-18.5,-25.1,71.2
VPRPL,0,513,-2.6,-9,78.8
NAVKARURB,0,93,7.6,-37,72.2
