Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SANCO,97,4,46.2,68.1,10
APOLLOPIPE,94,2295,18.2,53.2,5.9
STYLAMIND,94,4837,27.4,28.9,2.6
CARYSIL,89,3163,22.3,22.4,2.4
ORIENTBELL,88,522,25.3,19.2,2
SOMANYCERA,83,2127,11.9,29.7,17.2
SAHYADRI,81,335,20.8,21.8,9.9
GRASIM,80,215803,14.2,10.2,0.6
PREMIERPOL,75,583,3.9,3.7,19
FOCUS,73,562,6.2,27.4,33.9
TIIL,70,5972,4.6,14.8,22.3
NITCO,68,2323,10.5,28,41.1
VISAKAIND,66,643,12.9,19.8,24.3
MIDWESTLTD,63,4547,-0.9,-3.2,32.4
ELECTCAST,62,5095,-3.9,19.6,40.6
KAJARIACER,61,17033,-13.4,12.3,19.1
ASTRAL,59,41722,1.1,-7.8,12.2
RAMCOIND,56,2538,8.3,-1.5,26.7
ASIANTILES,51,1843,-19.2,-14.9,20.8
BIGBLOC,50,779,13.7,7.6,30.7
REGENCERAM,49,111,-9.6,-1.2,27.2
PRINCEPIPE,47,3003,-1,8.7,30
RESPONIND,42,4657,12.1,-1.9,30.5
MURUDCERA,41,203,1.6,5,30.3
EUROPRATIK,37,2541,-7.9,-2.7,36.7
POKARNA,35,2667,-6.3,-7.1,25.4
FINPIPE,32,10899,0.2,-4.6,26.2
MADHAV,31,33,-5,-1.1,31.9
RHIM,30,8311,-2,-7.4,25
IKIO,29,1192,6.4,8.3,38.9
TEXMOPIPES,29,130,-4.5,0.2,35.1
EVERESTIND,28,659,4.9,5.5,44.5
JISLDVREQS,28,43,-4.4,2.9,36.6
EXXARO,24,296,-5.3,-11.2,39.5
IFGLEXPOR,21,1270,-9.3,2.5,47.9
TIJARIA,14,13,0.7,4.3,55.2
AROGRANITE,12,39,-5.9,-6.1,44.5
BIRLANU,10,1022,-5,-11,44.1
AHLADA,9,51,-12.3,-12.1,50.4
PPL,9,479,-6.6,0.6,57.5
ORIENTALTL,8,46,-8.5,-4.4,63.9
JISLJALEQS,5,2235,-7.5,-11.7,54
KRITI,2,371,-13.5,-18.5,60.9
GSLSU,0,231,-9.7,-39,62.6
LEXUS,0,39,3.4,-49.8,51.8
