Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
MIRCELECTR,98,1536,25,46.1,16.1
SONAMLTD,88,230,11.1,20.3,7.5
ICEMAKE,71,1287,0.5,1.1,6.2
SINGERIND,71,472,2.7,7.5,5.4
CERA,63,7387,8.8,16.2,21.3
CROMPTON,60,18905,13.5,11.5,18.9
BUTTERFLY,56,1205,11.3,12.4,18
STOVEKRAFT,54,1834,2.1,13.1,31.9
ATLASCYCLE,50,64,-3.9,11.1,39.6
BOSCH-HCIL,48,3719,-3.5,-2.5,10.4
LGEINDIA,47,104203,-4.4,-2.1,12.3
ORIENTELEC,44,3954,-4.4,5.7,21.8
VOLTAS,40,42497,-15.2,-15.7,18.9
BLUESTARCO,39,33968,-13.8,-14.9,19
HINDWAREAP,32,1979,5.8,1.4,39.8
TTKPRESTIG,26,7171,-0.4,-1.5,32.2
EUREKAFORB,24,9022,-8.3,-3.9,30.3
IFBIND,14,4258,-11.5,-5,47.9
EPACK,12,2265,-13.2,-5.9,43.6
LAOPALA,11,1936,-3.1,-13.8,39.1
SYMPHONY,11,4958,-15.5,-13.6,42.3
BOROLTD,10,2710,-11.5,-6,43
WHIRLPOOL,10,10843,-14.1,-7,42
CELLO,8,8402,-11.1,-8.1,43.5
BAJAJELEC,5,3896,-14.9,-8.3,52.4
WEL,2,1287,-9.8,-31.3,49.7
