Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SKYGOLD,93,7471,14.7,33.8,11.9
THANGAMAYL,92,11887,-3.1,-0.2,12.5
SILGO,82,252,4,7.1,6.8
KDDL,80,3427,10.2,19.7,9.3
GOLDIAM,78,4610,5.5,16.5,9.1
TITAN,69,369143,-6.4,-3.8,9.7
SENCO,68,5800,9.5,11,12.6
SHANTIGOLD,64,1618,8.7,7.1,18.1
VAIBHAVGBL,54,3823,3.9,0.3,21.8
BLUESTONE,54,7377,-10.4,14.8,38.9
PNGSREVA,53,1282,0.8,-1.9,15.3
SHRINGARMS,50,2078,6.1,-13.2,18.9
BANARBEADS,44,78,2.3,-6.1,30.7
ETHOSLTD,42,6487,-7.5,0.2,25.2
RBZJEWEL,42,497,-11.7,-0.2,30.7
PNGJL,42,7164,-21.8,-3.5,28.3
KANANIIND,29,30,-9.4,2,32.5
MOKSH,29,105,-7.8,-7.8,28.3
LYPSAGEMS,24,14,-10.2,-4.2,53.9
LGHL,22,1160,-12.3,-19.6,42
RGL,18,1106,0.4,-19,29.8
MVGJL,18,750,-14.3,-2.8,45.6
TBZ,15,909,-9.1,-8.2,37.6
PCJEWELLER,13,8661,-6.2,-11.4,54.6
KALYANKJIL,9,36977,-13.5,-11.8,42.1
RADHIKAJWE,6,676,-13.3,-14.5,48.7
DPABHUSHAN,4,2229,-12.7,-18.1,43.6
MOTISONS,3,1175,-16.7,-26.4,51.3
RAJESHEXPO,2,3302,-12.1,-25.9,52.6
