Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
GLOBAL,90,517,-2.2,-2.3,16.6
VERANDA,82,2290,48.6,27.5,12.7
JARO,69,1280,38.2,28.1,35
APTECHT,66,649,6.3,28.1,34.9
PWL,55,31673,3.4,20.9,31.5
UMESLTD,54,12,-13.7,10,29.1
MTEDUCARE,41,12,11.7,15.7,36.5
ZEELEARN,30,199,19.6,11.1,44
LCCINFOTEC,29,52,-7.1,-9.5,32
CRIZAC,21,3916,3.9,0.8,42.3
GTECJAINX,19,18,-4.6,-2.2,45.1
TREEHOUSE,18,29,-14.8,-25.2,37.3
CPCAP,13,168,-6.7,2.9,53.5
COMPUSOFT,12,105,-3.4,-6.5,45
CPEDU,10,319,-7.2,-14,47.8
CLEDUCATE,7,250,-3.4,13.6,61.5
NIITLTD,7,944,-4.5,-4.2,52.7
EDUCOMP,6,12,4.2,-7.5,52.2
