Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
AHLEAST,75,278,-1.4,3,5.5
VHLTD,72,928,0.3,-4.1,10.1
BLUECOAST,69,65,2.7,40.6,62.8
THELEELA,50,13862,-2.9,-5.8,12.7
ASIANHOTNR,48,1302,1.5,6.3,22.6
ADVANIHOTR,41,492,-2.8,-2.8,22.1
APOLSINHOT,40,312,5.6,-3.5,25.2
INDHOTEL,38,94422,2.4,-1.9,18.3
EIHOTEL,36,20067,-2.3,0.8,26.2
EIHAHOTELS,33,1922,0.1,-2.3,26.2
SAMHI,33,3610,-0.9,-2.7,36.1
CHALET,32,17410,0.4,-4.1,26.5
SINCLAIR,31,382,-7.1,0.7,35.1
PARKHOTELS,29,2606,-0.9,-3,29.4
CCHHL,28,218,-4,-0.7,36.4
LEMONTREE,27,9251,-2.6,2.1,35.4
RHL,27,319,1.6,-0.3,39.4
TGBHOTELS,27,26,-4.3,-4.1,36.6
VENTIVE,25,14662,2.4,-11.6,25.1
ROHLTD,24,930,-2.4,-7.3,42.8
TAJGVK,22,2057,-1.1,-4.5,36
BRIGHOTEL,21,2333,-9.3,-1.5,32.8
ORIENTHOT,19,1791,0.5,-0.1,41
HLVLTD,14,520,-9.4,-2.2,49.4
JUNIPER,12,4387,-5.7,-8.4,42.9
ITCHOTELS,9,32548,-2.8,-12.5,40.3
KAMATHOTEL,6,489,-2.6,-11.2,49.9
UNIVAFOODS,5,11,4.9,-17.6,42.6
MHRIL,3,4478,-12.6,-21.4,41.9
ADVENTHTL,2,821,-2.4,-22.8,55.8
BYKE,1,185,-3.8,-17.5,64.5
DIL,0,15,-5.9,-29.4,64
