Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
AUSOMENT,89,178,-2.3,37.2,24
SIS,84,5509,13.9,32.9,7
SIEMENS,78,130595,-4.9,9.5,6.7
JUBLINGREA,76,11656,-0.4,23.3,14.1
NAVA,76,17362,-8.1,5.3,17
GODREJIND,69,39096,16.4,12.1,16.5
3MINDIA,58,37977,0,-7.8,11.6
BANARISUG,49,4517,-0.1,0.2,17.1
ROSSARI,47,2966,6.8,9.2,29.7
ASPINWALL,45,180,1,6.7,26.7
BALMLAWRIE,44,3132,0.1,1.8,23
GMRP&UI,33,8399,-1.4,-11.8,21.4
UDS,28,1203,11,9.8,49.5
GILLANDERS,27,194,2.2,1.6,39.5
DVL,25,878,2.2,-1.6,35.4
