Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
APEX,96,1440,-2.6,10,10.2
NARMADA,95,140,11.2,13.5,4.5
AVANTIFEED,94,18342,-5.6,-0.7,15.5
SANSTAR,83,1898,17.7,21,13.9
NATHBIOGEN,74,336,1.2,18.8,26.3
HARRMALAYA,73,390,-6.9,9.3,11.1
REGAAL,65,937,4.1,32.7,37.8
JUBLCPL,43,2773,3.8,1.2,39.3
KSCL,41,4761,-0.4,15,39.5
BESTAGRO,39,648,3.4,6.4,48.9
BSHSL,30,995,-3.9,7.1,35.8
AJOONI,27,72,0.7,-8.5,36.1
OSWALSEEDS,23,109,-6.4,-5.5,40.8
AGRITECH,19,64,-6,-13.3,42.1
INDOUS,7,202,-3.2,-26.6,51.2
UMAEXPORTS,2,85,-6.7,-9.6,69.3
