Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SCPL,95,439,24.8,29.5,12.6
COASTCORP,93,391,0.4,24.2,12
NGIL,93,70,0.8,53.9,9.1
ADFFOODS,90,3057,3.8,35.6,8
KHAITANLTD,88,62,-2.1,43.8,19.7
MEGASTAR,86,326,2.8,29.4,9.9
ZYDUSWELL,84,15480,-1.3,23.5,12
SKMEGGPROD,81,959,6,8,21.8
KRISHIVAL,81,1059,18.4,27.7,21.9
GRMOVER,80,3260,-4.2,-4.3,15.2
NESTLEIND,78,272557,-0.3,6.8,5.6
VENKEYS,69,2121,-5.6,10.5,16.2
CLSEL,66,1481,6.2,7.7,24.7
EIFFL,65,594,-3.2,-0.8,21.6
HNDFDS,65,6505,9.1,10.4,8.4
KMSUGAR,65,253,-6.9,14.5,18.3
MANORAMA,60,8376,-2.3,-1.7,20
ORKLAINDIA,53,8628,-3.3,4.6,17.3
KWIL,53,6181,-4.2,2.3,15.9
LTFOODS,52,14075,-5.5,-0.8,21.8
KRBL,43,8183,-5,2.1,27.7
BIKAJI,41,16036,-5.9,2.5,21.8
MUKKA,39,690,-5.1,2.4,29.5
BRITANNIA,38,128180,-6.8,-13.5,15.9
GOPAL,35,3648,4.2,-4.5,26.4
GODREJAGRO,28,11009,-5.4,-8.3,34.7
VIDHIING,25,1519,-0.9,-0.3,34
KOHINOOR,24,91,-10.9,0.7,37
HALDER,23,270,-11.2,-12.3,26
BBTC,22,10789,2.3,-12.3,28.2
PATANJALI,21,50928,0.4,-9.7,28.4
HMAAGRO,19,1228,0.9,-8,35.2
AKG,17,35,-4.8,-19.4,33.8
FCONSUMER,12,64,-2.9,-8.3,40
SAKUMA,10,277,-8.3,-4.9,51.5
VISHWARAJ,10,116,-8.1,-2.9,50.9
FOODSIN,8,408,-10.5,-7.2,56.9
SARVESHWAR,7,457,-7,-3.9,60.5
BECTORFOOD,5,5495,-10.2,-17.3,43
AMIRCHAND,4,1308,-7.4,-29.8,36.8
PRUDMOULI,2,48,-5.7,-6.9,68
SRPL,2,8,-6.8,-25.5,58.2
