Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
BAJAJCON,99,7350,25.3,41.5,3.3
CUPID,99,16760,11.1,51,6.9
HONASA,89,12721,12.6,28.5,2.9
MARICO,74,106863,4.6,2.1,3
OAL,66,1109,3.7,20.2,23.9
GANESHCP,53,821,6.1,23.7,34.4
COLPAL,38,57019,-2.1,-7.6,16.8
HINDUNILVR,35,516462,-5.7,-7.5,20.1
AMBICAAGAR,34,40,-1.7,-6.3,26.1
DABUR,29,79284,-1.1,-13.8,22.5
GILLETTE,28,25435,-4.7,-7.2,32.1
AWL,21,25103,-6.3,1.2,32.5
GODREJCP,18,104325,-6.3,-17.5,22
JHS,14,76,-5.7,-10.7,40.3
EMAMILTD,9,17623,-12.5,-15.7,36.3
PGHH,9,31344,-6.3,-15.6,33.6
SHK,8,1897,-8.2,-9,50.5
KAYA,3,377,-8.1,-24.2,49.1
JYOTHYLAB,3,7459,-24.3,-21.8,44.3
