Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
DBOL,87,702,-12.4,5.2,18.9
AVADHSUGAR,85,931,-1.7,44.3,18.6
MAWANASUG,83,394,-4.2,30.8,18.8
DHAMPURSUG,82,930,0.6,27.5,13.1
DWARKESH,76,804,-2.9,23.4,18.3
JAYAGROGN,75,693,14.7,29.5,16.3
SUKHJITS,75,599,7.6,5.3,15.3
DAVANGERE,73,584,12.9,0.5,25.5
UTTAMSUGAR,72,938,-5.7,31.1,25.7
PONNIERODE,71,260,1.1,15.3,17.3
RAJSREESUG,71,116,3.5,37.4,31.6
BALRAMCHIN,70,10760,2.4,14.1,15.1
UGARSUGAR,68,474,0.3,17.8,19.8
DALMIASUG,65,2747,-9.8,20.5,25.5
MGEL,64,433,-4.3,20,28.2
PICCADIL,60,5891,-8.9,4,25.7
BAJAJHIND,59,4425,-5,24.2,37.4
RANASUG,58,194,-5.9,16.7,29.4
TRIVENI,58,8262,-9.3,-2,19.4
SAKHTISUG,48,213,-1.2,15.6,37
DIAMONDYD,45,2334,-2.3,-8.7,19.9
MAGADSUGAR,41,664,-10.1,9.4,39.8
KOTARISUG,36,213,-5.1,5.9,37.8
KCPSUGIND,35,273,-5.5,11,39.6
TASTYBITE,34,1945,8.7,3.8,36.4
RENUKA,32,5029,-15.6,2.2,34
VADILALIND,22,3131,-6.9,-10.5,30.1
EIDPARRY,15,14016,-7.5,-8.9,36.6
SIMBHALS,11,35,-18.4,-3.1,58.4
DCMSRIND,1,519,-0.7,14.3,79
