Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
ONELIFECAP,99,97,32.1,67.7,0
SGFIN,95,3813,5.8,47,10.9
ANANDRATHI,92,30035,1.7,18.4,3.2
JAYKAY,86,2578,16.1,38.3,10
KISSHT,85,4255,21,21,2.7
ABCAPITAL,84,95359,6.2,3,3.3
NORTHARC,82,4628,8.9,12,10.9
LTF,79,70002,-2.9,-7.9,15.2
NUVAMA,78,27427,10.7,18,11.6
HYBRIDFIN,69,50,-7,-6.6,46.7
IITL,68,371,2.6,22.6,24.6
JPOLYINVST,66,1077,-9.3,-20.1,31.2
RELIGARE,66,7873,6.1,14.2,19.8
PRUDENT,64,11115,-6.2,5.6,13.5
EDELWEISS,63,10569,-9,-5.3,14.3
CAMS,62,19088,1.3,7.8,12
KICL,59,2200,5,-1,23.2
TATAINVEST,59,34336,-4.9,3,42.7
STEL,57,868,3.1,-4.4,26.1
LAXMIINDIA,55,598,-1.3,21.3,36.6
AFSL,50,1021,-1,0,25.4
PILANIINVS,50,5105,-3.2,1.9,22.8
JMFINANCIL,44,12666,-5.8,-0.9,33.8
ALGOQUANT,44,1657,8,-1.4,16.8
TATACAP,43,131290,-7.2,-7.6,15.7
MASKINVEST,41,45,-12.2,-3.8,39.5
WEALTH,38,984,-0.6,-5.7,34.6
JINDALPHOT,38,1049,-9.8,-23.2,37.1
BAJAJFINSV,32,289398,2,-11.8,17.7
NSIL,31,2944,-0.8,-4.2,34.8
HDBFS,28,55599,-0.1,-7.7,24.9
MAXIND,26,814,-1.2,-1.3,35.7
RADIANTCMS,26,438,-2.1,9.6,39.7
CMSINFO,25,5110,2.1,4,42.6
TPHQ,23,56,-7,-8.6,43
GANGESSECU,22,119,-2.3,-5.3,35.6
SILINV,19,446,-6.8,-0.9,44.7
ALANKIT,17,247,-1.3,2,49.5
MASTERTR,13,1096,16.6,2.3,48.9
KFINTECH,12,14315,-13.7,-17,40.3
LFIC,10,41,-1.8,-5.3,45.2
SUVIDHAA,9,56,-9.7,-10,58.9
