Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
MCX,98,84488,17.1,35.3,4.8
BSE,97,174780,21.4,54.8,0.3
VIJIFIN,96,55,-0.3,85.7,16.1
TFCILTD,83,3380,-0.1,-2.6,13.6
IGIL,74,16162,5.1,12.6,15.4
PAYTM,55,70239,-3.1,-3.2,20.6
WILLAMAGOR,41,30,6.1,1,31.7
PFS,34,1973,-2.7,-1.2,30.7
63MOONS,33,2962,-11,6.3,43.1
IEX,31,11373,0.9,-0.1,40.8
MOBIKWIK,22,1505,-15,-5.6,42.8
CDSL,21,25443,-8.1,-8.2,33.4
CSLFINANCE,21,549,3.4,-8.5,37.1
SUMMITSEC,20,1756,-3.3,-5.2,35.8
INTELLECT,17,9986,0.7,3.7,43.2
DAMCAPITAL,12,1079,-6.4,1.3,49.7
AVONMORE,2,323,-7.7,-24.1,52.3
PINELABS,2,16792,-26.9,-26.4,48.5
AGSTRA,0,28,-17.6,-37.4,64.9
