Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
PNBHOUSING,86,28307,3.7,27.8,4.9
PIRAMALFIN,85,44042,5.4,9.6,6.3
SAMMAANCAP,84,19510,17.5,6.7,12.6
REPCOHOME,62,2483,-4.5,3.1,14.7
CANFINHOME,59,11176,-8.4,-5.6,13.7
AADHARHFC,58,20624,-4.2,3.5,13.6
SRGHFL,58,451,2.4,6.3,14.2
FUSION,56,2853,-1.8,-7.7,21.5
HUDCO,54,41567,-3.4,9,18.2
LICHSGFIN,51,29907,0.1,-0.6,15.9
VHL,50,1098,3.3,5.5,22.4
INDIASHLTR,49,8478,-4.9,8.4,22.9
BAIDFIN,46,161,-7.5,-6.8,26.9
ICDSLTD,46,58,-6.9,7.8,34.3
AAVAS,40,10886,-0.7,6.9,36.1
APTUS,40,13154,0.8,6.2,27.9
CHOLAHLDNG,39,30502,2.3,-3.1,27.2
GICHSGFIN,35,817,-1.8,-2.3,26.2
HOMEFIRST,31,11291,-6.3,-13.4,28.9
SUNDARMFIN,21,48782,-6.1,-20.2,22.3
BAJAJHFL,16,69399,-8.5,-5.1,35.1
MUTHOOTCAP,14,335,0.8,-10.8,44
TRU,7,72,-7.9,-3.2,70.8
RHFL,6,107,10.4,0.9,71.5
