Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
ANGELONE,91,31596,8.7,39.1,0.6
GROWW,86,118859,-11.7,15.2,16.6
DBSTOCKBRO,85,111,16,22.9,13.3
IIFLCAPS,81,10769,8,15.6,16
GCSL,81,940,18.3,12.9,1.8
MONARCH,75,2587,8,16.8,18
MOTILALOFS,71,52386,9.6,18.7,20.7
GEOJITFSL,70,2106,14.9,16.8,20.4
INDOTHAI,64,2604,-19.7,-9,48.8
PRIMESECU,62,958,-1.4,0.4,14.1
ARSSBL,62,3388,-7.6,6.4,32.4
BLBLIMITED,57,86,-7.9,-8,27.5
INDBANK,51,150,-1,-5.3,28.1
DOLATALGO,49,1330,-3.3,-0.7,31.8
NAHARCAP,49,425,2.2,5.5,31.9
EMKAY,48,603,-4.1,-4,45.3
CREST,46,996,-3.7,-2.3,18.6
KEYFINSERV,44,152,-8.1,-4.2,28.8
SHAREINDIA,44,3060,-4.5,7.6,33.7
BIRLAMONEY,43,797,-3,6.5,32.3
GATECHDVR,43,9,6.4,6.4,55
5PAISA,40,1512,-5.7,-1.6,26.2
SMCGLOBAL,39,1301,-6,-21.3,34.5
GATECH,38,67,10.6,4,57
DELPHIFX,37,254,-18,-23,42.9
CHOICEIN,37,15350,-0.5,-8.7,19.9
PNBGILTS,37,1425,8.8,1.1,33.8
VLSFINANCE,37,739,-0.8,-8.1,30.2
KHANDSE,29,26,10.3,2.9,38.6
JIOFIN,25,159651,-4.7,-5.9,28.6
STEELCITY,19,117,-6,-8.9,33.2
THEINVEST,19,518,-9.2,2.3,46.1
NDGL,16,259,-4.1,2.5,44.7
CENTRUM,14,1110,-7.9,-4.1,45.3
ARIHANTCAP,13,751,-3.3,-14.4,42.7
ALMONDZ,11,243,-17.2,-12.2,47.5
INVENTURE,11,105,0,-9.1,44.4
21STCENMGM,7,33,-9.8,-9.3,55.3
UGROCAP,3,1547,-7.1,-13,48.2
JSWHL,2,13887,-3.4,-26.6,48.1
SYSTMTXC,2,898,-10.3,-13.3,63
SPCENET,1,216,-7.7,-25.2,66
