Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
PAISALO,95,4537,5.3,41.4,2.8
SATIN,94,2393,25.6,40.5,11.9
FEDFINA,90,6168,4.9,22,7.7
AFIL,90,412,6.1,33,5.3
MUFIN,86,2132,5.3,6.1,2.3
MANAPPURAM,84,27564,13,9.8,2.5
SHRIRAMFIN,83,226294,-1.3,-11.4,13.2
AYE,83,3593,-2.1,21.1,10
MUTHOOTFIN,79,134637,-4,-4.3,19.2
ARMANFIN,76,1807,10.7,6.6,9.9
IFCI,76,16640,0.7,5.8,17.1
PFC,74,144858,-7.6,3.6,9.8
MUTHOOTMF,74,3036,-3.2,1.1,18.1
CGCL,73,18213,2.3,11.5,11.5
TEAMGTY,70,223,-3.7,-4.3,24.1
GLFL,69,16,-14.7,1,33.4
MONEYBOXX,67,507,4.1,8.5,20.3
TCIFINANCE,59,16,-6.7,-12.4,65.2
CREDITACC,58,20892,5,-0.2,16.8
IIFL,56,20463,11,-5.3,28.6
SPANDANA,56,2081,16.3,3.3,14.5
AIIL,56,42715,3.1,2.1,26.4
UYFINCORP,54,281,1.5,3.5,37
BAJFINANCE,51,586550,2.2,-7.8,14.6
M&MFIN,51,42894,-2.9,-18.4,25.1
DCMFINSERV,50,11,5.7,16.9,39.5
MASFIN,49,5538,-5.2,-10.2,14.9
TSFINV,49,9180,0.1,0.5,41.1
CHOLAFIN,48,135512,1.9,-9.3,13.1
MANCREDIT,48,355,-1.3,-1.3,21.9
RECLTD,42,90149,-9.5,-3.3,20.2
IREDA,40,36458,-6,3.4,30.4
NBIFIN,36,578,-4.5,4.5,41.1
SBFC,36,10325,-1.8,-3.2,24.2
POONAWALLA,32,35129,-5,-13.5,30.1
SAHLIBHFI,27,218,-12.4,-13.1,18.6
FIVESTAR,26,13464,-10.8,7,44.9
HBSL,26,43,-5.3,2.5,55.9
INDOSTAR,26,3431,8.2,-4.4,41.9
STARTECK,26,246,1.5,-7,29.7
TFL,22,76,3.7,-12.2,40.7
MANBA,17,542,-0.9,-12,32.5
SBICARD,8,59912,-6,-20.1,38.6
CIFL,8,981,-10.2,-21,43.8
CAPTRUST,6,49,10,13.4,86.3
FINKURVE,4,926,-8.1,-17.6,51.2
BLUECHIP,1,10,7.4,-19.9,61.8
MAHAPEXLTD,0,141,-2.3,-46,59.2
