Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
MAHABANK,91,62416,1.8,9.6,5.5
INDIANB,71,113165,-7.9,-14.6,16.1
UNIONBANK,69,128804,-4.1,-15.3,17.8
BANKINDIA,65,66388,-1,-16.8,18.1
CANBK,60,121161,-4.9,-15.9,17.9
SBIN,58,895094,-12.8,-19.2,21.5
BANKBARODA,54,141002,-0.6,-13.8,16.4
PNB,38,122195,-6.7,-18.6,21.4
IOB,34,65068,-4.3,-7.4,21.1
PSB,24,17057,-6.4,-6.7,30.2
UCOBANK,24,31974,-3.8,-13.5,27.2
CENTRALBK,16,28276,-14.4,-22.3,24.1
FINOPB,0,1050,-8.8,-38.2,63
