Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
J&KBANK,91,15511,8.9,25.3,2.9
KTKBANK,91,9993,3.9,28.1,4
SURYODAY,90,1714,8.1,37.9,15.3
TMB,90,10833,-1.9,-0.6,11.1
DHANBANK,89,1322,20.1,40,4.3
RBLBANK,87,21234,9.8,4.1,1.9
FEDERALBNK,84,71317,-1.6,-3.3,4.2
AUBANK,82,74772,-4.2,1.8,7.4
SOUTHBANK,82,10737,2.7,0.1,12.5
BANDHANBNK,81,31700,8.3,7.7,7.4
KARURVYSYA,81,28217,-1.9,-13.3,15
DCBBANK,80,5883,-4.4,-4.6,11.3
JSFB,79,5034,0.3,31.6,13.4
EQUITASBNK,74,7780,1.2,3.7,8.6
INDUSINDBK,73,72113,2.9,-1.2,4.4
YESBANK,71,69926,11.8,7.6,8.3
UJJIVANSFB,70,10665,-4.6,-10.4,19.3
AXISBANK,66,407778,-1,-6.5,7.6
ESAFSFB,65,1497,19.2,6.6,20
CUB,63,18566,-7.9,-13.8,22.9
CAPITALSFB,58,1273,5.7,6,15.7
IDFCFIRSTB,52,59776,-1.2,-1.1,20.2
KOTAKBANK,45,390696,4.3,-7.6,13.3
CSBBANK,43,6336,-7.8,-6.7,36.4
ICICIBANK,39,925787,-1.7,-7.8,13.9
HDFCBANK,18,1212092,-0.4,-13.3,22.9
UTKARSHBNK,9,2391,-6,-8.3,49.7
IDBI,4,78589,-5.8,-35.7,38.3
