Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
NRAIL,83,786,-6.6,5.5,11.4
WSTCSTPAPR,76,3290,1.6,21.2,14.6
JKPAPER,72,7113,5,15.2,11.7
RUCHIRA,65,376,6.6,19.3,27.2
TNPL,60,1044,2.1,11.4,20.9
MALUPAPER,38,54,-0.1,4.4,29.2
STARPAPER,28,221,1.3,-1.7,25.1
ANDHRAPAP,26,1253,-6.9,-8,30.1
SESHAPAPER,26,1476,-11.9,-14.5,25.8
MAGNUM,25,139,-5.9,-7,32.8
EMAMIPAP,22,482,4.4,-7.5,34.6
PDMJEPAPER,21,785,-3.5,1.6,44.2
GENUSPAPER,20,328,-7.1,0,41.9
RAMANEWS,17,423,-9.7,-22.5,35.7
SATIA,16,594,-16.2,-8.8,39.6
SHREYANIND,16,206,-12.3,-0.4,40
ABREL,15,14328,-12.5,1.9,49.3
KUANTUM,13,703,-1.8,-9.5,40.8
ORIENTPPR,13,387,-1.9,-2.2,41.9
SUNDARAM,11,65,-4.8,-10.3,41.6
SHRENIK,11,23,-2.6,-5,42.4
PAKKA,9,401,-5.2,1.5,60.5
ASTRON,1,18,-7,0.5,80.4
