Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
PARKHOSPS,96,12054,17.8,47.8,1.1
GAUDIUMIVF,95,872,-6.4,49.4,9.8
GKSL,89,1113,22.4,26.1,4.8
YATHARTH,86,7906,9.3,17.7,7.8
ASTERDM,85,38698,3.8,16.2,3.8
ARTEMISMED,81,4557,17.4,24,3.2
NEPHROPLUS,81,6222,15.1,7.7,6.6
FORTIS,77,73257,1.7,4.3,12.1
LOTUSEYE,77,226,-11.7,-0.7,25.8
APOLLOHOSP,76,120836,7.4,8,0.5
AGARWALEYE,71,15205,8.5,6.3,15.5
HCG,70,9793,13.6,13.8,18.5
KIMS,70,30282,12.2,4.2,5.2
NH,67,39645,8.4,4.1,18.2
RAINBOW,62,13710,7.6,11.5,18
MEDANTA,61,33587,7,8.2,14.2
GPTHEALTH,58,1142,2.3,11.1,24.7
SURAKSHA,57,1554,4.5,6.2,15.3
JLHL,54,8850,6.3,5.5,16.9
SHALBY,47,1866,3.7,9.6,37.1
MAXHEALTH,28,97407,-0.9,-8,23.8
INDRAMEDCO,18,3333,-12.1,-10.6,43.3
