Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
VENUSREM,99,1518,21.2,65.7,0
NGLFINE,98,1766,23.4,27.5,4.9
LAURUSLABS,96,73220,20.7,26,1.3
GRANULES,93,18792,9.1,26.4,1.9
SHILPAMED,92,10016,23.4,56.4,3.3
KOPRAN,90,910,17.6,45.2,11.3
NATCOPHARM,90,21009,7.6,19.9,4.4
HALEOSLABS,89,503,22.3,32.3,6.2
LINCOLN,88,1440,15.6,17.5,4.1
NEULANDLAB,87,21500,13.6,25.7,15.1
VIYASH,87,11400,25,19,2.9
AAREYDRUGS,84,232,-11.1,14.1,18.2
JBCHEPHARM,84,35778,8.8,6.8,2.5
MARKSANS,81,9981,14.6,25.2,18.6
INNOVACAP,78,4893,19.1,27.9,16.2
ORTINGLOBE,77,12,3.5,-8.1,21.1
BALPHARMA,74,141,17.4,17.1,20.3
SOLARA,73,2004,14.7,17.3,24.5
MEDICO,71,408,19.6,7.9,16.5
RPGLIFE,71,3727,12,17.7,17.3
JAGSNPHARM,68,1380,1,21,31.8
DRREDDY,67,111126,-0.2,1.9,3.5
SYNCOMF,67,1489,13.1,24.9,32.5
VINEETLAB,65,67,-8.1,13.2,30
ASTRAZEN,63,22000,2.6,-0.8,17.7
KILITCH,63,647,20.9,15.9,44.7
SANOFICONR,60,10616,-0.8,15,21.8
JUBLPHARMA,58,16045,5.5,12.2,19.3
PPLPHARMA,58,23854,6.3,11.4,18.7
ORCHPHARMA,57,3628,22.2,13.4,20.4
ALKEM,52,64571,1.1,-4,9
PAR,50,113,1.3,-3.2,24.6
ABBOTINDIA,49,58873,9,4.9,25.1
AARTIDRUGS,45,3600,3.3,6.7,30.1
ZOTA,39,3886,-14.8,-7.6,35.5
DCAL,38,3132,14.3,13.8,37.9
MOREPENLAB,38,2395,1,-1,38
PFIZER,36,21452,-2.1,-8.9,21.8
FDC,35,6013,0.6,1.4,30
HIKAL,33,2639,13.2,6.6,46.2
ALEMBICLTD,30,2249,-5.2,-4.9,30.2
GLAXO,23,38965,-5.7,-13.3,34.6
INDOCO,20,1806,-6.3,-3.6,44
TTKHLTCARE,19,1246,-2.9,-3.6,36.9
UNICHEMLAB,16,2531,-4.6,1,46.1
VAISHALI,8,91,-13.2,-5.5,48.1
BAJAJHCARE,6,1018,-8.8,-10.9,50.3
