Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SAKAR,99,1782,27.9,53.9,4.4
BLISSGVS,98,3359,16,45,3.5
SENORES,97,5312,22.8,49.3,3.4
STAR,93,10951,8.2,37.6,3.5
SAILIFE,92,24942,10.2,27.3,0.8
BAFNAPH,91,321,1.7,27.1,32.8
ZIMLAB,91,534,16,45.9,21.4
RUBICON,91,15561,-1.5,19.8,7
GLAND,90,38450,31.4,26.3,2.6
GLENMARK,88,65950,0.5,12.1,5.5
INDSWFTLAB,88,1147,-1.6,-10.2,15.7
SMSPHARMA,87,3457,-7.6,-3.1,17.6
AUROPHARMA,86,84483,2.7,20.1,6.2
AHCL,86,732,-3.8,27.2,88.8
EMCURE,85,32956,6.1,21.5,5
SAIPARENT,85,2163,0.9,20.7,6.9
WOCKPHARMA,84,26609,13.9,18.9,12.4
TORNTPHARM,83,154757,8.4,3.5,3
ONESOURCE,83,20714,-1.3,39.8,19.6
AMANTA,83,513,-1.8,31.4,14.3
ENTERO,82,5871,8.6,27.2,10.7
ZYDUSLIFE,80,107963,14.2,16.7,1.9
AJANTPHARM,78,38498,9.8,2,7
GUJTHEM,78,4242,8.6,23.1,18.7
VIVIMEDLAB,77,53,-6.4,-16.4,78.1
ALIVUS,76,12883,0.5,15.7,8.6
HESTERBIO,75,1611,13.5,21.5,19.4
PANACEABIO,75,2566,13.6,24.6,23.8
SUPRIYA,75,6166,8.8,15.2,8
CORONA,74,10418,0.9,5.1,12.7
CAPLIPOINT,73,15794,18,20.3,13.2
LUPIN,73,104574,-1.6,-0.2,8.3
VALIANTLAB,73,423,2.6,31.8,37.4
WANBURY,72,990,9.4,10.9,11.6
AKUMS,72,8200,-1.9,8.8,16.4
IPCALAB,71,39856,1.9,3.1,6.4
MANKIND,71,101472,8.3,14,9.5
ANTHEM,71,43104,-0.6,8.7,12.4
SUNPHARMA,70,441621,6.2,4.3,4
DIVISLAB,68,179363,4.3,5.6,4.5
MEDPLUS,67,10768,-0.3,4.9,14.2
JSLL,66,7896,-7,-1.3,25.2
PGHL,65,9504,10.6,11.5,15
THEMISMED,62,923,2.9,21.5,35.2
SUDEEPPHRM,60,7870,2.6,7.4,12.4
GUFICBIO,55,3259,10.6,16.4,20.3
BETA,55,1387,4.3,32.8,31.6
CIPLA,52,114214,7.3,5,15.5
AARTIPHARM,51,6640,2.8,3.4,24.6
ALBERTDAVD,46,412,1.4,1.3,24.5
KREBSBIO,44,133,3.8,4.8,45.5
WINDLAS,44,1620,-9.5,3.5,28.5
ANUHPHR,40,764,-7.5,0.4,33.6
BLUEJET,35,8360,8.5,20.4,53.2
APLLTD,32,14984,-0.3,3,31.2
COHANCE,32,16635,0.6,40,61.2
NATCAPSUQ,30,160,-2.4,-0.4,47.7
ALPA,25,143,-0.5,4.9,43.6
AMRUTANJAN,24,1627,-2.9,-6.2,28.8
LASA,24,40,-0.4,3.3,53.8
BIOFILCHEM,20,51,-6.6,-3.2,44.9
BALAXI,16,137,-6.1,21.7,60.9
NECLIFE,15,236,-3.3,-1,57
LYKALABS,10,220,5.6,-0.2,52.1
MEDICAMEQ,10,367,7.3,-7.4,39.7
MANGALAM,4,46,4.8,-0.2,69.3
SANOFI,2,7327,-7.3,-23,50.4
BROOKS,1,166,-12.5,-17.2,65.6
