Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
OFSS,89,84478,3.7,46.7,3
SOFTTECH,88,577,17.5,47,12
INFOBEAN,65,1498,-16,-22.5,39.7
RAMCOSYS,65,1821,13.5,5.5,29
AURUM,60,1284,-3,-1.2,21
TANLA,59,6898,-10.6,17.8,32
INTENTECH,54,234,0.6,-3.4,33.5
ONMOBILE,49,547,-8.5,1.8,31.3
IRIS,46,542,8.7,5.7,38.3
TATAELXSI,19,26967,3.3,-5.5,35.8
NUCLEUS,17,2042,-3.9,-3.4,43.8
AURIONPRO,9,4550,-6.4,-8,50.6
VIRINCHI,8,182,-6.9,-11.8,48.7
GSS,4,36,-5.2,-0.4,64.3
RSSOFTWARE,4,83,-23.2,-8.3,64.2
