Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
BBOX,98,17311,68.4,79,2.3
DSSL,98,2410,78.9,107,1.5
NINSYS,97,1218,29.2,108.3,2.2
SILVERTUC,96,1854,-0.3,1.7,13.8
IBULLSLTD,96,4629,15.6,119.1,12.4
CALSOFT,95,47,69.1,52,26.8
SASKEN,95,2926,48.7,66.8,1.8
E2E,94,7609,21.5,44.6,5
NETWEB,92,21876,-2,5.9,14.4
INSPIRISYS,89,469,46.7,38.8,9.7
WEWIN,88,56,-3.2,39.5,30
RPSGVENT,85,3078,10.2,41.3,20.9
ONEPOINT,84,1613,14,28.1,11.2
IZMO,83,1039,-6.2,-11.4,49.5
RELIABLE,81,136,1.6,-4.2,23.9
FRACTAL,80,16166,-3.4,16.2,16
CYBERTECH,74,460,15.3,29.3,46.2
IKS,72,28339,9.5,15,12.2
NAZARA,69,10741,7.2,8.4,20.1
PALREDTEC,67,54,15.1,25.8,39.7
XTGLOBAL,66,436,2.3,16.5,29.4
AAATECH,62,119,-5.3,-8.8,31.2
MELSTAR,57,6,0,0,0
DATAMATICS,56,4596,7.8,0.3,30.4
3IINFOLTD,55,361,-1.5,25.1,36.2
EXPLEOSOL,54,1402,10.4,17.8,34
SUBEXLTD,54,626,18.5,18.6,35.2
BGLOBAL,53,4,0.6,5.4,32.2
TECHM,53,140711,2.8,5.4,22.6
TERASOFT,53,429,-3.4,-11.7,43
HGM,52,77,15.8,9.4,24.9
SECMARK,51,134,8.6,2.6,23.6
FSL,50,19798,30.9,28.2,30.6
MINDTECK,49,653,-2.7,-3.9,33.5
IVALUE,48,1343,-8.5,8,28
ALLDIGI,47,1268,-1.8,1,23.6
QUINTEGRA,46,3,-4.9,8.9,34.1
PERSISTENT,45,79460,4.6,6.5,23.7
ONWARDTEC,45,615,12.5,1,29.8
STYL,45,4367,10,11.9,38.6
COFORGE,43,60137,16.3,15.3,29.9
SIGMA,43,391,-14.8,2.2,41.4
SAGILITY,43,19563,-0.7,-2.2,27.8
DEVIT,41,161,-12.5,28.3,42.4
KSOLVES,40,681,-12.3,-5.9,28.7
TRIGYN,40,184,1.5,15.1,42.2
ORIENTTECH,40,1278,-2.8,-6.8,40.4
LTTS,39,37595,-1.2,8.2,25
CEINSYS,39,1889,-19.7,-7.2,27.8
WIPRO,37,217130,0.9,2.4,24.3
DRCSYSTEMS,36,217,-3,0,35.7
XELPMOC,36,151,-1.9,-22,34.5
EXCELSOFT,36,1007,-5.8,0.9,38.6
CAPILLARY,33,4150,-7.7,0.6,34.7
CTE,32,63,5.3,13.6,46.2
DIGISPICE,31,443,-7.8,-2.9,45.5
MPHASIS,31,42815,-0.9,-0.6,26.1
ACCELYA,30,1703,-3.3,-4.1,25.2
SECURKLOUD,28,67,-7.3,-3.9,39.2
ECLERX,27,14921,7.4,-3.7,36.4
PROTEAN,27,2562,16.2,8.2,38
BSOFT,26,9246,-11,-11,30.2
EMUDHRA,25,4024,-1.4,10.5,42
QUICKHEAL,25,1056,16.2,16.3,53.2
ADSL,24,700,5.5,5.3,45.2
XCHANGING,24,744,-0.5,2.5,36.1
LTM,22,118358,-8.2,-12.4,23.2
CYIENT,21,10193,3.7,-1.5,33.3
VAKRANGEE,21,718,-5.6,0.5,37.5
CCAVENUE,20,4880,-0.6,-18.9,28.1
MASTEK,19,5184,-3.8,3.1,40.7
SONATSOFTW,19,7682,5.5,0.6,39.5
LANDSMILL,19,128,-8.1,-19.5,47.7
EQUIPPP,18,153,-10.5,-13,36.5
GOLDTECH,18,222,7.6,8.6,46.9
DUCON,17,112,7,6,51
HEXT,17,30878,12.3,8.3,43.8
HAPPSTMNDS,15,5683,-0.7,3.8,44.7
INFY,15,473944,-0.2,-9.4,32.4
LATENTVIEW,15,6672,8.7,-5.3,37.8
CURAA,15,88,0.3,5.8,73.4
SAKSOFT,14,1900,-0.3,-2.7,43.3
MEDIASSIST,14,2719,1.1,-5.6,38.5
AIRAN,13,203,-7.9,-3.3,50.4
TRACXN,13,354,0.5,3.8,48
HCLTECH,10,316399,-5.1,-15.4,34.5
TCS,10,835144,-5.7,-12.2,34.9
FCSSOFT,9,259,-10.1,-5,50.2
KPITTECH,7,20733,2.9,-4.1,47.3
RSYSTEMS,7,3164,-1.5,-9.6,46.2
KELLTONTEC,6,845,-0.9,-20.1,52.1
ZENSARTECH,6,11217,-10.1,-9.2,44.8
ORCHASP,4,69,-1,-22.8,51.2
TREJHARA,3,355,-9.2,-25.2,48.3
MCLOUD,3,1590,0.3,8.6,74.4
NPST,3,2156,-14.3,-10.2,56.8
VLEGOV,2,155,-7.1,3,78
DIGITIDE,2,1281,-9.3,-9.1,69.2
ASMS,1,223,-11.3,-31.2,58.2
GENESYS,1,1063,-7.2,-15.8,66.5
MAPMYINDIA,1,4741,-7.8,-17.3,56.9
NEWGEN,1,6200,-11.3,-12.8,67.4
