Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
PFOCUS,94,19179,-22.5,-8.9,32.8
TIPSMUSIC,78,8223,-5.6,15.6,10.5
CREATIVEYE,67,14,-0.3,6,42.2
CINEVISTA,64,89,4.2,6,35
SAREGAMA,57,7658,10.5,19.5,34.1
BALAJITELE,48,1145,-6.6,-8.1,33.4
SHEMAROO,47,297,-0.7,-0.1,35.8
SILLYMONKS,41,21,-2.1,-6.5,40.2
RADAAN,35,16,-9.5,-0.7,43.4
ENIL,27,523,-5.7,4.1,37
RADIOCITY,26,213,1,2.3,37.5
BTML,17,119,3,-12.9,38.2
NETWORK18,8,4854,-10.9,-7.2,51.7
NEXTMEDIA,2,26,-6,-27.9,51.7
