Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
AMAGI,73,8734,7.1,4.6,10.3
ORTEL,56,5,-14.1,1.3,32.1
DISHTV,35,635,-10.3,16.8,46.9
DEN,30,1310,-2,-1,35.4
BAGFILMS,26,104,-4.7,-2.5,36.3
TVVISION,22,19,-2.1,-12.5,57.7
SUNTV,20,19457,-19.1,-18.1,25.2
HATHWAY,19,1853,-5.7,-1.3,41.8
GTPL,17,752,0,13,50
ZEEL,15,7936,-9.6,-6.4,45.5
SITINET,14,19,-13.2,-8.3,43.1
ZEEMEDIA,12,498,-6,-4.5,51.2
NDTV,11,874,-3.4,-2.6,56
TVTODAY,11,658,-3.3,-12.2,39.8
AQYLON,1,1584,31,-53.2,72.3
RAJTV,0,108,-11.6,-46.8,56.9
GRADIENTE,0,10,-48.5,-48.5,51.1
