Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SALSTEEL,99,818,-2.7,20.9,11.5
MAHASTEEL,98,1425,3.7,13.1,16.9
JAYNECOIND,97,10146,0.7,35.4,10.5
MWL,97,1099,22.8,38.3,1.8
IMFA,96,8067,-1.7,17.6,10.9
WELCORP,96,34257,7,62.8,5.8
SUNFLAG,95,6982,31.2,55.5,9.2
SAIL,93,82002,7.7,20.2,5.4
LLOYDSME,93,101573,4.1,43.9,2.4
LLOYDSENGG,93,10906,26.6,51.6,11.4
MSPL,92,2420,21.6,35.8,2.9
SHAH,92,462,-0.9,9.1,10.7
VISACHROME,92,750,23.2,34.5,30.1
BHARATFORG,91,91711,0.9,0.9,6.1
STEELCAS,90,2919,-3.5,22.5,10.5
GOODLUCK,89,4708,14.6,17.7,3.9
HAPPYFORGE,89,12990,2.9,3.2,7.6
GALLANTT,88,16898,-19.8,25.2,26.2
GFSTEELS,87,44,4.9,10.1,0
BHARATWIRE,86,1522,-2.8,24.8,15.4
STEELXIND,86,1318,4.1,32.1,10.2
RHETAN,86,2350,1.5,12.5,6.1
USHAMART,85,14451,2.9,11.3,4.7
AZAD,85,13180,-8.8,17.6,13.2
GPIL,83,19185,-4.2,5.2,10.9
JINDALSAW,83,14445,-7.8,20,13.2
KIOCL,82,24195,-4,17.3,37.3
TATASTEEL,82,262416,-1.4,-2.1,6.3
VENUSPIPES,82,2933,-1.2,34.7,14.8
RSL,82,1102,-1.3,16.4,9.2
RATNAVEER,81,1203,12.5,16.1,8.6
MANAKSTEEL,80,446,-6,14.2,20.9
JSWSTEEL,79,315402,0.5,1.1,1.9
TEMBO,79,1177,4.8,19,24.1
JINDALSTEL,77,123670,-5.2,-4.3,7.2
TIRUPATIFL,77,528,-6.3,14.1,19.8
AIAENG,76,37003,-1.3,1.6,5.5
SHYAMMETL,76,26947,8.6,11.7,3.9
MUKANDLTD,74,2029,-0.4,8.7,13.5
SHAHALLOYS,74,137,-0.3,6.1,16.7
NELCAST,74,1196,4.3,17.6,24.2
HARIOMPIPE,70,1279,26.1,11.4,27.8
SARDAEN,70,19160,-11.2,2.2,15
KSL,69,3629,3.7,9.8,16.1
VSSL,69,2663,0.3,9.6,15.5
MAHSEAMLES,66,8387,-3.3,14.9,19.1
JTLIND,65,2653,-14.3,8.9,19.2
BANSALWIRE,65,5031,4.4,20.2,26.2
RKFORGE,63,10400,1.6,5.4,17.3
BONLON,63,73,-6.9,4.2,19.2
RATNAMANI,61,17910,-5.8,5.2,24.1
SAMBHV,61,3167,-12.4,6.2,28.1
HITECH,59,1871,1.1,4.4,27.8
VASWANI,59,178,-5.8,-10.1,22.5
APLAPOLLO,58,52720,-4.5,-14.9,17.5
KAMDHENU,58,697,9,17.2,30.8
SGIL,56,794,-4.9,-0.2,18.7
IMPEXFERRO,54,15,10.9,8.3,24.4
PTCIL,53,24418,0.6,-9.8,16
DCM,50,166,4.9,9.8,35.1
JSL,50,60372,-5,-8.9,17.2
PRAKASH,49,2532,-2.7,3.3,26
ATAM,45,86,7.2,17.1,41.6
INCREDIBLE,45,168,3,1.2,31.9
ZENITHSTL,44,84,-8.4,15.5,42.3
RUDRA,43,190,-14,5.9,36.4
KALYANIFRG,42,230,4.6,0.1,25.5
ELECTHERM,41,981,-11.1,3.2,39.8
SCODATUBES,41,829,-8,2.3,40
JAIBALAJI,40,6616,-6.7,6.8,47.6
MAITHANALL,39,2738,-5.8,-7.9,25.5
DPWIRES,33,267,-8,12.4,43.9
VSTL,32,226,-8.8,2.6,42.2
VRAJ,28,406,-3.5,-1.2,34.4
PRAKASHSTL,26,76,-8.8,-1.6,36.6
ANKITMETAL,25,21,-2.5,-4.8,36.3
SURAJLTD,22,432,-2.6,1.7,46.5
HISARMETAL,21,81,-4.6,-10.5,32.7
KRIDHANINF,20,35,19.1,-7.4,42.1
SURYAROSNI,20,4725,-9.1,-2.6,39.5
PENIND,18,2044,-13,7.7,45.9
KRITIKA,18,165,-6.9,1.1,44.1
BEDMUTHA,15,348,-3.7,-22.3,42.2
SHYAMCENT,11,103,-12.4,-3.5,49.4
HILTON,6,115,-9.6,24.1,72.7
GANGAFORGE,5,32,-14.8,-18.6,48.6
RAMASTEEL,1,870,-8.4,-27.5,64.4
