Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
AEROFLEX,99,5477,40.5,82.2,9.7
ARFIN,98,1628,0,36,9.2
HARDWYN,97,1225,-4,47.9,9.4
NATIONALUM,97,74025,-8.6,12,9.5
HINDALCO,92,247015,3.6,17.3,1.8
NRBBEARING,92,3741,34.4,41.5,0.6
MANAKALUCO,88,231,-0.2,19.1,48.5
GANDHITUBE,83,1166,13.1,8.2,6.8
MAANALU,80,855,-13.1,-0.3,22.8
MMP,79,735,12.9,20.7,9.5
JAINREC,71,13507,-6.6,3.6,34
NIBL,70,73,-4.1,-2.5,25.3
ORIENTCER,68,482,-1.5,2.4,28.3
EUROBOND,64,451,5,11,26.5
SCHAEFFLER,59,64121,-5.8,-3.8,8.2
CENTEXT,53,164,-3.3,2.8,40.7
MANAKSIA,49,405,1.9,4.3,27.3
EKC,46,1319,-3.6,2.7,25.3
GOYALALUM,43,97,-4.1,-0.3,40.1
RAJMET,36,107,-2.5,0,45.4
MANAKCOAT,35,1132,-0.1,-6.2,41.3
