Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
KSHINTL,98,4714,2.1,92,7.2
HINDCOPPER,96,52751,-2.5,-6.9,28.2
GMDCLTD,93,20841,-6.2,16.1,15.1
POCL,93,4596,22.2,30.8,6.9
ASHAPURMIN,90,6460,8.8,23.8,26.8
HINDZINC,88,268244,1,2.5,13.4
SANDUMA,87,11303,7.5,9.1,14.9
NMDC,83,79266,-0.3,10.2,4.3
NSLNISP,79,13193,8.3,14.8,9.3
MMTC,66,9706,-2.7,4.2,26.5
SAGARDEEP,62,45,7.7,11,25.2
CUBEXTUB,49,128,-5.6,-15.7,37.4
GRAVITA,48,12232,2.8,4,16.3
MOIL,41,6161,-6.6,-1.6,25.4
ORISSAMINE,30,2438,0.2,-2.7,33.6
VEDL,1,48865,-55.2,-54.3,58.2
