Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
ADANIGREEN,94,232535,14.8,46.4,4.1
JPPOWER,81,12932,-3.8,28.6,31.8
SUZLON,69,73413,-5.2,25,27.3
WAAREERTL,64,10201,-7.4,16.5,28
INOXGREEN,60,7134,-2.4,2.4,36.3
KPIGREEN,59,8601,-5.4,13.7,22.5
ZODIAC,58,480,-9.3,30.3,39.5
NHPC,58,79375,-5.1,4.4,14.4
GVKPIL,48,481,-2.5,6.2,31.5
SURANAT&P,45,244,-7.8,0,32.7
GREENPOWER,44,1291,-1.7,12,30.3
URJA,44,565,-1.3,15.4,38.4
RTNPOWER,44,4929,-9.5,9.9,45.7
SAMPANN,30,135,-5.1,-8.8,36.4
SJVN,30,29142,-7.6,-1.2,29.8
DPSCLTD,13,831,-14.9,-8.5,44.8
INOXWIND,12,16781,-6.8,2,51.7
INDOWIND,9,161,-9.7,6.3,57.4
