Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
NEUEON,99,1364,24.5,124.7,11.4
ADANIPOWER,98,450107,7,66.1,0.5
ADANIENSOL,95,168683,-2.2,38.6,4.1
NLCINDIA,92,47409,8.9,29.8,11.8
CLEANMAX,88,12819,2.4,26.3,21.7
ACMESOLAR,85,18253,-2.8,28.5,7.3
CESC,79,24597,-1.3,16,9.2
JSWENERGY,78,97934,-2.9,13.7,4.9
PTC,77,5686,-1.7,15.9,16.4
NTPC,75,378413,-4.9,1.3,5.9
TATAPOWER,71,132175,-8.7,8.5,11
NTPCGREEN,68,85957,-14.2,13.1,14.9
TORNTPOWER,66,74347,-16.8,-5.8,19.2
POWERGRID,59,274646,-8,-3.9,9.1
OMPOWER,52,646,-3.8,-2.3,8.3
GIPCL,47,2430,-0.9,8.8,30.1
GKENERGY,42,2577,-3.5,11.8,46.9
KARMAENG,40,52,-12.3,5.3,46.9
RELTD,40,2297,-14.9,-12,33.4
SOLARWORLD,40,1929,11.2,11.8,42.6
VIKRAMSOLR,34,7262,-11.2,14.5,50.8
RPOWER,11,11050,-9.1,4.7,65.1
RELINFRA,0,2608,-18.5,-34.4,84.9
