Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
NDLVENTURE,94,436,10.3,17.3,7.3
MOTOGENFIN,83,110,10.6,35.2,11.6
PROZONER,80,781,-20.5,2.7,29.5
RAYMONDREL,80,4077,40.5,43.5,41.6
PHOENIXLTD,74,64745,0.6,6.8,9.2
NESCO,73,8929,4.4,11,22.5
SHRIRAMPPS,73,1556,7.4,15.2,13.9
OBEROIRLTY,70,62252,-0.6,12.8,14.6
HEMIPROP,68,4141,13,3,23.6
PANSARI,68,498,-6.5,-1.3,18.8
ARVSMART,65,2788,-3.6,13.9,19.6
ANSALAPI,62,64,10.5,6.2,31.3
TEXINFRA,59,1277,2.4,3.4,11.8
FMNL,56,61,10.4,26.4,46.3
ELDEHSG,56,786,-6.1,-9.3,22.8
GEECEE,56,693,11.1,14.9,17.5
MARATHON,55,3273,2.3,16.5,37
OMAXE,54,1408,-7.6,-1,32.2
PVP,53,680,-23,-5.6,33.7
TECHIN,53,20,0,0,13.3
KOLTEPATIL,52,3380,0.1,4.1,23.2
MAXESTATES,52,7158,9.1,7.6,22.4
LANCORHOL,51,178,1,-2.2,28.6
SOBHA,48,14869,-2.5,-4.2,19.5
SCILAL,48,2135,1.7,1.1,24
KIRLOSIND,47,3254,-6.8,9.5,34.4
BLAL,46,791,0.2,1.3,19.1
PURVA,46,5447,5.3,7.4,32.2
ANANTRAJ,42,18265,1.3,-5.6,31.8
UNITECH,42,1404,12.5,9.5,48.5
MAHLIFE,41,7195,2.8,-9.4,21.3
PRESTIGE,41,60342,-0.3,-1.4,22.7
KALPATARU,40,6975,3.3,0.7,26.1
ARTNIRMAN,39,102,-8.3,1.4,43.1
PRAENG,36,145,-10.7,-4.1,38.3
PALASHSECU,34,96,1.5,2.2,32
TREL,34,609,-8.4,4.3,33.3
HUBTOWN,33,2964,0.3,3.8,43
GANESHHOU,32,5876,6.6,4.8,34.6
GODREJPROP,32,53229,-3.3,-1.7,29.5
DBREALTY,30,6550,13.3,8.2,52.1
ZUARIIND,30,752,-6.9,1.4,39.4
NILAINFRA,28,322,-1.7,1.2,40.9
TARC,28,3923,-3.2,-11.7,35.3
DLF,24,146612,0,-3.1,33.2
LOTUSDEV,24,6911,-4.4,-0.7,35.4
VIPULLTD,20,125,-15.2,-25.4,34
EMBDL,19,8724,35.8,6.9,50.9
ARKADE,18,2210,0.9,3.8,44.3
IL&FSTRANS,15,76,-4.1,-5.6,46.8
RVHL,15,230,-9.6,-4.7,47.8
3PLAND,12,55,-14.2,-9.7,47.5
AMJLAND,12,155,-10.4,-6,44.8
BRIGADE,11,16376,-14.9,-6.3,49.7
LODHA,10,90640,3.1,-11.3,40.8
ARIHANTSUP,9,1052,-15.2,-6.3,47.7
SUMIT,9,214,-15.2,17.4,58.8
OSWALGREEN,8,645,-10.8,-6.1,50.4
SBGLP,8,447,-3.3,-13.8,47.5
SHRADHA,7,280,-13,-9.7,58.5
SUNTECK,6,4451,-14.5,-25.6,36.6
HDIL,5,94,-7.9,-20.2,51.2
SADBHIN,4,94,-3.9,-17.4,52.5
PENINLAND,4,558,-11.2,-3.6,63.5
ANIKINDS,3,123,0.9,-4.9,62.1
MEP,2,17,-2.1,-9.5,66.9
PARSVNATH,0,185,-46,-37,84.5
