Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
CMPDI,96,17470,35.5,58.8,7.2
KAPSTON,78,1043,-0.4,-13,20.9
ENGINERSIN,77,12851,-11.2,4,14.4
AARVI,65,188,-2.2,0,16.4
BLUSPRING,61,1011,7,25.6,32.7
SMARTWORKS,60,5229,5.4,9.8,26.2
WEWORK,60,7856,1.2,8.2,13.6
URBANCO,56,19220,-13.4,15.5,38
ACEINTEG,44,20,0.6,10.6,32.7
HGS,37,1909,-0.5,7.1,34.9
TEAMLEASE,34,2336,11.6,10,34.8
QUESS,31,3084,3.7,4.7,38.5
AWFIS,23,2574,3,20.9,49.8
TCC,19,1855,-2.3,-16.4,25.9
INNOVISION,18,738,-6.2,-17.2,34.1
BLS,16,11067,-4.6,-7.3,36.2
OSWALAGRO,7,613,-7.6,-3.5,58.6
EFCIL,2,2722,-10,-21.1,48.4
NIITMTS,1,3016,-30.8,-35.4,50.6
