Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
SHADOWFAX,97,11677,27.9,68.8,5.6
JETFREIGHT,86,93,-1.4,12.5,11.7
GLOTTIS,82,644,9.2,41.5,25.4
MAHESHWARI,77,161,8.2,30.4,16.2
SINDHUTRAD,76,4127,12.5,5.1,31.8
DELHIVERY,72,34073,-1.6,3.6,7.1
DJML,71,337,7.4,7.9,22.4
RITCO,67,754,21.3,16.6,16.8
TVSSCS,64,5346,5.2,6.8,17.8
MAHLOG,61,3547,-13.2,-11.1,20.7
OMFREIGHT,59,294,10,1.8,19
GKWLIMITED,52,1017,9.4,3.8,24.6
ACCURACY,52,90,15.4,19.6,39
AEGISLOG,52,25675,1.2,0.5,22.6
CONCOR,51,39006,-0.4,2.3,21.5
PATINTLOG,51,85,6.3,20.4,33.4
TIGERLOGS,51,375,12.6,12.1,36.7
OBCL,48,107,-4.2,-3.3,18
NAVKARCORP,45,1467,-3.5,2.8,30.7
RUCHINFRA,43,145,-0.2,4.9,43
GATEWAY,37,2786,-3.7,-5.5,27.1
SVLL,30,641,-1.5,2.8,34.7
BLACKBUCK,29,9373,-16.8,-14.2,31.1
WCIL,27,1012,-4.2,-13.6,32.8
ALLCARGO,26,1325,-4.4,3.6,44.2
NECCLTD,25,157,-1.8,9,43
VRLLOG,24,4190,-5.8,-15.2,26.1
TARACHAND,21,437,-15,-10.2,46.5
TCI,20,7033,-5.4,-11.7,28.9
SNOWMAN,19,635,-9.1,-3.3,41
TCIEXP,19,1965,-2.3,-5.8,39.6
AVG,18,294,-6.9,8.2,50.9
BLUEDART,16,11589,-9.9,-13.1,32.4
TOTAL,13,90,0.9,-13.5,39.8
SICALLOG,12,520,-5.1,-1,47.6
ARSHIYA,3,31,-9.7,-24.8,62.7
GICL,2,453,-0.9,-19,76.2
