Stock Name,RS Rating,Market Cap,1 Month Returns(%),3 Month Returns(%),% from 52W High
EASTSILK,99,26,-6.7,-25.6,44.4
SBC,97,1847,16.6,20.9,1.9
PRECOT,96,915,37.8,65.6,5.4
SPORTKING,95,2111,21.2,42.8,1.2
ARVIND,93,12626,23.4,35,3.3
MAYURUNIQ,93,3256,31.9,38,2.4
UNITEDPOLY,93,777,10.5,51.4,33.8
NITINSPIN,92,2826,13,29.3,7.9
RUBYMILLS,90,918,17.6,43.9,0
MORARJEE,88,29,27.5,33.8,11.1
SUMEETINDS,88,1576,-0.5,22.4,26.2
VTL,88,17415,0.6,10.3,7
WINSOME,87,18,27.9,33.1,0
LUXIND,86,4099,-17.7,50.2,25.2
SOMATEX,86,341,-4.9,-10.2,35.8
NAHARSPING,85,957,9.5,31.7,14.9
SANGAMIND,84,2575,-2.6,9.7,10.9
PASHUPATI,84,1516,8.7,-2.4,18.9
PASUPTAC,82,515,12.5,13.2,9.4
AMBIKCO,80,920,10.5,16.9,5.6
RAYMOND,80,3725,21.2,40.6,28.7
SVPGLOB,80,47,18,35.7,42.1
RSWM,79,822,7.9,16.3,9.2
AYMSYNTEX,78,1250,-3.7,5.3,23.1
GINNIFILA,78,385,8.5,15.1,22.1
GLOSTERLTD,77,741,12.7,19,18.4
CENTENKA,76,1105,18,17,12.4
PGIL,76,7528,3.5,5.8,18.3
ICIL,75,6132,15.8,14.8,9.6
IRISDOREME,75,677,-1.2,7.1,9.9
MARALOVER,73,233,20.9,24.3,28.5
SHIVAMILLS,72,57,11.3,25.4,18.4
VARDHACRLC,72,345,20.5,18.9,20.7
EUROTEXIND,72,14,-2.8,26.4,34.1
BORANA,72,854,-4.6,-22.9,23.8
WELSPUNLIV,71,13286,4.4,9.1,9.3
SARLAPOLY,70,817,8.6,18.4,23.3
SALONA,69,146,0.8,4.2,13.2
DIGJAMLMTD,66,92,-2.3,0.5,21.7
SUTLEJTEX,65,591,-6.9,14.5,30.3
CHEVIOT,64,659,1.7,5.9,17.3
DAMODARIND,64,71,10.9,23.6,26
SPAL,64,1918,-5.4,10.5,15.1
NAHARINDUS,63,487,3.5,13.7,25.1
BANSWRAS,60,429,6.8,9.3,24.2
VCL,60,26,0.7,-34.9,46.6
NAGREEKEXP,59,83,-4.6,7.2,32.6
ESSENTIA,58,280,21.1,25.8,34.6
JBFIND,57,36,0,0,0
PAGEIND,57,42964,2.2,17.8,23.8
DCMNVL,56,286,6.8,8.5,27.1
GANGOTRI,56,1,0,0,9
ARVINDFASN,55,6229,2.9,5.9,19.6
SUPERHOUSE,54,169,1.6,0.2,23.4
SURYALAXMI,50,115,2.3,3.2,27.1
LAGNAM,49,140,-1.9,5.7,29.2
SIYSIL,49,2722,6,12.4,29.1
GANECOS,47,2530,-11,21.7,45.1
VIPCLOTHNG,47,237,15,29.9,41.8
SHIVATEX,46,226,8.4,4.8,27.7
GLOBE,45,108,-4.4,-12,26.7
MODTHREAD,45,152,-8.5,4.1,29.5
KPRMILL,44,32555,1.7,3,24.4
SELMC,44,95,-9.5,-0.4,31.4
GLOBALE,43,12,-12.1,3.2,29.1
AXITA,41,298,-5.1,-13.5,36.1
BOMDYEING,41,2607,9.2,11.3,35.9
DONEAR,41,456,-2.5,0.7,24.3
INDTERRAIN,41,158,4.4,0,28.4
AKSHAR,40,37,2.1,9.1,36.8
MANOMAY,40,320,-22,-16.7,29.9
JAIPURKURT,39,63,0,-5.4,34.6
BASML,38,195,5.1,6.3,36.1
GOKEX,38,5250,-1.3,2.5,28.2
LOYALTEX,38,106,10,2.7,41.8
PARASPETRO,38,70,-4.5,-5,35
KKCL,37,2745,-6.9,-12.3,25.1
GOENKA,37,25,0,0,43.1
VGL,36,332,1.9,-1.1,33.9
ORBTEXP,35,431,-1.6,-6.1,38.2
SANATHAN,35,3391,-12.6,0.3,28
FILATEX,33,1926,-3.8,-1.9,34.4
ZENITHEXPO,33,107,-8.7,0.9,42.3
SHEKHAWATI,33,51,-14.6,19.3,43.8
MONTECARLO,32,1135,-1.7,-4,36.3
RUPA,32,1184,-4.5,7.7,36.1
MHLXMIRU,31,189,-6.3,2.4,34.4
PDSL,31,4238,7,-1.5,32.5
MFML,31,27,-2.1,1.1,35.1
GARFIBRES,30,6331,1.1,-0.7,34.2
TRIDENT,29,12525,-6.1,-5.4,27.9
SPLIL,29,89,-8.8,2.7,34.7
LOVABLE,27,106,-6,-1.9,34.2
VINNY,27,51,-6,-2.7,28.1
RAJVIR,26,3,0,0,33.8
INDORAMA,24,964,-6.4,3.3,50.6
NDL,23,383,-7.3,-3.3,39.8
PIONEEREMB,23,80,1.7,-1.3,42.9
RELCHEMQ,23,91,3.5,-0.2,42.5
CANTABIL,22,1821,-11.5,-19.6,32.1
LAMBODHARA,22,107,-0.7,-4.6,36.3
RAJRILTD,22,1119,-5.8,-8.4,36.1
SGL,22,30,-7.5,-8.4,46.4
VIVIDHA,22,16,-3.3,1.8,37
AARNAV,22,99,1.2,-15.4,22.4
ZODIACLOTH,20,209,-2.3,-4.5,36
JINDWORLD,17,2670,1.4,5.3,58.5
SUULD,17,10,0,0,61.3
BSL,16,125,-4.3,-6.4,40.7
DOLLAR,16,1542,-12.9,-5.6,36.7
MUFTI,16,565,9.4,3.1,54.2
BHANDARI,15,138,-1.5,5.2,51.6
ASHIMASYN,14,300,-1.9,4.7,52.3
MOHITIND,14,31,-1,-6.8,43
FELDVR,13,9,-16,-11.7,37.3
KITEX,13,3252,-1.7,-11.9,46.3
LAL,12,122,-2.6,-4.9,47.4
BANG,10,47,-3.6,-12.4,41.9
CELEBRITY,10,48,0.8,-3.3,50.6
KALAMANDIR,10,1575,-1.5,-7.9,54
ALOKINDS,9,6251,-9.3,-13,46.3
SWANCORP,9,10107,-4.4,-13.6,38.7
VARDMNPOLY,8,309,-8.5,-19.1,51.9
NIRAJISPAT,6,12,-15.2,-26.2,66.5
AKI,5,50,-4.7,-6.3,69.6
LAXMICOT,4,24,-4.2,-14.9,56.2
TTL,4,193,-6.3,-22.1,55.1
FILATFASH,4,183,-20.7,4.5,68.9
BELLACASA,4,337,-5.2,-11.1,49.6
HIMATSEIDE,3,1003,-11.8,-20.2,51.8
SUPERSPIN,2,26,-6.3,-19,56.9
LEMERITE,1,618,-45.2,-45.3,54
SRTL,1,172,-14.3,-39.6,41.2
RNBDENIMS,0,296,-21.5,-82.5,83.7
ABCOTS,0,475,-12.8,-47.9,57
